ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0182,19685,3679,2481,22166,18487
C0183,1463,55,192,1655,1600
C0184,4698,5010,8923,13621,8611
C0185,10233,5478,2585,12818,7340
C0186,4756,3012,1969,6725,3713
C0187,2199,299,2812,5011,4712
C0188,1367,484,194,1561,1077
C0189,17109,14907,8155,25264,10357
C0190,14407,10213,3442,17849,7636
C0191,9123,3323,1174,10297,6974
C0192,1301,653,1205,2506,1853
C0193,5887,4689,3143,9030,4341
C0194,3671,63,116,3787,3724
C0195,1945,512,352,2297,1785
C0196,591,697,400,991,294
C0197,39966,8256,19623,59589,51333
C0198,479,10,26,505,495
C0199,1947,0,226,2173,2173
C0200,845,0,17,862,862
C0201,4831,600,448,5279,4679
C0202,9597,1813,1146,10743,8930
C0203,17779,4969,12980,30759,25790
C0204,2746,0,93,2839,2839
C0205,533,0,25,558,558
C0206,4138,2387,1506,5644,3257
C0207,31932,8521,15731,47663,39142
C0208,1430,43,130,1560,1517
C0209,2283,203,336,2619,2416
C0210,34882,8381,6027,40909,32528
C0211,42490,16710,7388,49878,33168
C0212,2388,732,1769,4157,3425
C0213,64,0,385,449,449
C0214,12264,1090,4865,17129,16039
C0215,113,89,234,347,258
C0216,15597,5555,1338,16935,11380
C0217,189,0,0,189,189
C0218,10829,1820,5254,16083,14263
C0219,13390,20514,12280,25670,5156
C0220,2989,877,775,3764,2887
C0221,2589,545,564,3153,2608
C0222,12228,3635,4047,16275,12640
C0223,9118,0,22702,31820,31820
C0224,29437,10328,11991,41428,31100
C0225,1817,1280,498,2315,1035
C0226,3828,1315,216,4044,2729
C0227,2634,351,800,3434,3083
C0228,6450,761,810,7260,6499
C0229,975,119,187,1162,1043
C0230,671,48,44,715,667
C0231,8183,2430,4405,12588,10158
C0232,897,0,18,915,915
C0233,3241,600,1019,4260,3660
C0234,4987,724,2114,7101,6377
C0235,1291,0,148,1439,1439
C0236,3044,829,414,3458,2629
C0237,2122,82,101,2223,2141
C0238,1528,1154,1326,2854,1700
C0239,503,0,190,693,693
C0240,4092,368,3169,7261,6893
C0241,5382,1143,2774,8156,7013
C0242,1102,69,71,1173,1104
C0243,3044,0,1971,5015,5015
C0244,702,0,104,806,806
C0245,13181,6677,1332,14513,7836
C0246,2695,322,485,3180,2858
C0247,18743,6913,2728,21471,14558
C0248,1946,139,860,2806,2667
C0249,5600,822,951,6551,5729
C0250,16767,2613,3750,20517,17904
C0251,23677,7297,8488,32165,24868
C0252,31364,8258,3172,34536,26278
C0253,17690,2008,6939,24629,22621
C0254,858,84,82,940,856
C0255,2342,1965,388,2730,765
C0256,6435,3932,1916,8351,4419
C0257,2006,0,164,2170,2170
C0258,,,,,
C0259,996,9,104,1100,1091
C0260,838,0,86,924,924
C0261,1501,1087,867,2368,1281
C0262,1225,92,84,1309,1217
C0263,4221,170,551,4772,4602
C0264,1428,85,201,1629,1544
C0265,2061,0,68,2129,2129
C0266,4362,817,2187,6549,5732
C0267,588,204,502,1090,886
C0268,777,0,93,870,870
C0269,691,0,915,1606,1606
C0270,8964,2167,2921,11885,9718
C0271,517,49,183,700,651
C0272,9067,1970,2862,11929,9959
C0273,2124,716,628,2752,2036
C0274,3220,586,823,4043,3457
C0275,14803,5507,5203,20006,14499
C0276,4359,1154,2377,6736,5582
C0277,1043,0,1318,2361,2361
C0278,13264,2955,8717,21981,19026
C0279,8231,1908,5095,13326,11418
C0280,9387,2484,2637,12024,9540
C0281,1070,27,52,1122,1095
C0282,2443,0,1861,4304,4304
C0283,1692,758,554,2246,1488
C0284,14376,0,13316,27692,27692
C0285,2509,0,15,2524,2524
C0286,3342,1700,1604,4946,3246
C0287,523,0,20,543,543
C0288,4912,605,518,5430,4825
C0289,3590,1361,2111,5701,4340
C0290,12848,9345,2200,15048,5703
C0291,9066,471,1076,10142,9671
C0292,1684,3682,3602,5286,1604
C0293,18706,7994,5708,24414,16420
C0294,669,0,15,684,684
C0295,8013,1428,1762,9775,8347
C0296,2782,310,428,3210,2900
C0297,644,0,48,692,692
C0298,2009,2350,3559,5568,3218
C0299,1129,239,239,1368,1129
C0300,23239,11367,4799,28038,16671
