ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0177,25,29,570,680,580,670,590,673
C0178,29,33,640,740,660,740,650,750
C0179,,,,,,,,
C0180,32,35,700,800,710,790,710,800
C0181,16,19,410,480,410,490,390,470
C0182,24,29,520,630,540,650,520,630
C0183,16,23,360,470,360,475,360,455
C0184,,,,,,,,
C0185,26,30,590,690,570,660,580,680
C0186,22,27,500,610,510,610,,
C0187,,,,,,,,
C0188,15,20,348,435,345,495,,
C0189,27,31,600,690,600,700,610,700
C0190,29,33,650,750,660,750,,
C0191,21,26,490,590,480,590,480,580
C0192,,,,,,,,
C0193,17,21,420,520,420,520,410,490
C0194,15,18,370,460,360,450,,
C0195,18,22,410,520,410,530,410,510
C0196,,,,,,,,
C0197,23,28,540,630,550,640,510,610
C0198,19,25,460,580,450,550,,
C0199,23,28,510,620,500,610,,
C0200,15,18,350,440,360,440,340,430
C0201,21,27,470,590,510,640,460,580
C0202,18,22,430,520,420,510,410,490
C0203,20,24,480,560,480,570,470,560
C0204,21,25,540,580,530,580,520,570
C0205,20,26,470,590,460,570,,
C0206,23,28,500,610,530,650,,
C0207,24,27,540,620,530,610,520,600
C0208,,,,,,,,
C0209,22,27,490,590,500,590,480,580
C0210,25,29,560,640,550,640,560,640
C0211,26,31,580,670,590,690,570,680
C0212,19,24,450,550,460,560,,
C0213,,,,,,,,
C0214,,,,,,,,
C0215,,,,,,,,
C0216,28,32,600,700,630,720,590,690
C0217,,,,,,,,
C0218,23,26,540,620,540,610,500,590
C0219,21,27,470,590,480,600,,
C0220,20,26,470,590,455,590,,
C0221,24,29,550,640,550,650,540,650
C0222,,,,,,,,
C0223,,,,,,,,
C0224,23,28,530,620,550,640,510,610
C0225,16,21,410,510,408,500,400,490
C0226,23,28,540,640,530,630,510,610
C0227,17,23,430,550,410,530,420,530
C0228,21,26,480,570,500,580,480,560
C0229,17,21,410,490,410,500,,
C0230,17,24,330,530,342,547,,
C0231,21,26,460,570,460,560,440,540
C0232,,,,,,,,
C0233,17,20,420,480,400,470,,
C0234,19,23,460,550,450,540,,
C0235,18,22,420,535,420,510,,
C0236,17,21,390,470,380,470,,
C0237,24,29,530,640,530,630,520,610
C0238,19,21,440,550,430,500,,
C0239,17,20,400,490,410,500,370,480
C0240,18,21,440,520,420,510,420,500
C0241,19,23,440,550,430,540,420,530
C0242,23,28,530,670,530,630,530,650
C0243,,,,,,,,
C0244,,,410,510,420,530,,
C0245,29,32,620,710,650,750,640,730
C0246,,,380,460,370,450,,
C0247,28,32,600,700,660,760,610,700
C0248,18,22,440,520,420,520,,
C0249,22,26,530,610,520,620,510,600
C0250,21,25,520,590,510,600,490,570
C0251,20,25,480,580,480,590,,
C0252,26,30,560,660,580,670,570,670
C0253,21,24,500,590,490,580,470,570
C0254,19,23,460,550,450,540,,
C0255,,,,,,,,
C0256,23,28,540,630,540,640,,
C0257,18,23,450,550,450,560,430,550
C0258,,,,,,,,
C0259,22,27,520,630,510,610,490,610
C0260,14,18,340,430,340,440,330,410
C0261,19,24,450,560,440,540,,
C0262,18,25,437,590,415,586,,
C0263,16,19,390,460,380,460,370,450
C0264,18,23,410,530,410,530,410,500
C0265,20,24,470,570,460,540,,
C0266,22,26,500,600,530,630,,
C0267,,,,,,,,
C0268,17,23,450,590,450,570,,
C0269,17,22,430,530,410,520,400,520
C0270,20,24,480,570,470,550,450,540
C0271,17,22,450,570,430,560,420,540
C0272,18,22,440,520,430,510,420,510
C0273,19,23,430,520,440,540,,
C0274,19,23,410,540,430,550,400,510
C0275,21,27,480,580,500,610,470,570
C0276,19,25,430,550,440,560,,
C0277,16,22,400,480,400,500,380,470
C0278,20,26,460,570,460,580,,
C0279,,,,,,,,
C0280,20,26,480,590,480,590,460,570
C0281,21,27,460,570,465,590,455,570
C0282,18,22,400,510,420,520,,
C0283,21,28,460,590,460,570,460,570
C0284,20,25,450,560,440,560,,
C0285,,,,,,,,
C0286,19,24,460,560,460,560,,
C0287,19,25,520,570,500,620,,
C0288,23,28,500,640,510,630,490,620
C0289,17,20,430,510,450,530,,
C0290,32,35,720,800,720,790,700,780
C0291,,,,,,,,
C0292,20,24,440,590,450,580,,
C0293,23,28,530,630,520,630,,
C0294,,,,,,,,
C0295,19,24,,,,,,
C0296,21,26,450,550,450,580,,
C0297,19,26,565,665,530,650,565,585
C0298,,,,,,,,
C0299,19,25,432,550,515,595,400,570
C0300,21,26,490,600,510,640,,
C0301,19,25,,,,,,
C0302,26,31,560,670,700,780,580,670
C0303,25,30,510,620,570,740,,
C0304,19,25,410,540,410,580,420,510
C0305,25,30,520,640,640,740,520,640
C0306,22,26,,,,,,
C0307,18,27,460,540,500,590,,
C0308,,,,,,,,
C0309,23,28,510,620,510,620,510,610
C0310,21,26,440,550,480,590,440,540
C0311,16,19,,,,,,
C0312,24,29,520,630,530,630,520,630
C0313,19,22,360,470,390,540,,
C0314,20,25,450,520,490,530,430,520
C0315,21,26,490,570,440,580,450,590
C0316,20,25,490,540,470,510,480,570
C0317,,,,,,,,
C0318,22,27,,,,,,
C0319,19,25,,,465,580,470,588
C0320,19,24,450,550,450,580,430,530
C0321,31,34,690,760,700,790,690,770
C0322,16,21,,,,,,
C0323,21,27,,,,,,
C0324,20,25,410,500,500,570,,
C0325,,,,,,,,
C0326,19,25,363,553,453,665,410,528
C0327,19,25,480,630,440,590,480,580
C0328,20,24,490,540,480,620,490,570
C0329,21,25,480,610,440,620,460,600
C0330,19,24,455,570,440,545,455,540
C0331,20,27,465,623,440,665,,
C0332,,,,,,,,
C0333,19,25,450,590,470,620,,
C0334,20,25,470,580,480,590,460,560
C0335,20,25,450,640,460,630,430,610
C0336,20,25,460,600,470,560,,
C0337,18,23,,,,,,
C0338,27,32,600,720,610,700,600,710
C0339,21,25,470,570,470,570,,
C0340,20,24,490,590,490,570,480,570
C0341,20,27,440,550,460,580,430,550
C0342,25,30,530,630,530,640,520,630
C0343,15,20,390,460,390,480,340,442
C0344,25,29,520,650,550,680,530,630
C0345,26,31,590,700,560,640,520,640
C0346,23,29,490,600,500,620,480,600
C0347,19,24,450,550,460,560,430,540
C0348,21,30,470,620,480,630,,
C0349,20,26,457,580,460,570,,
C0350,23,28,490,600,510,600,480,570
C0351,19,26,440,550,430,530,400,520
C0352,21,27,440,570,440,560,423,550
C0353,19,24,440,540,450,550,430,520
C0354,19,25,440,550,450,570,430,540
C0355,19,25,450,550,460,560,440,540
C0356,19,24,440,550,450,560,430,530
C0357,16,22,400,510,400,510,390,490
C0358,18,23,430,520,420,520,410,510
C0359,18,23,430,530,430,530,400,500
C0360,24,30,520,630,540,660,510,620
C0361,17,23,390,510,390,510,390,500
C0362,17,23,420,530,430,520,410,510
C0363,18,23,410,520,410,510,400,490
C0364,19,25,440,560,450,570,420,540
C0365,19,25,460,550,460,570,,
C0366,21,27,470,580,480,590,460,570
C0367,,,,,,,,
C0368,32,34,660,750,680,770,,
C0369,19,24,430,530,440,540,410,520
C0370,,,440,540,430,540,,
C0371,17,23,430,520,430,530,410,510
C0372,19,23,440,530,450,530,430,520
C0373,19,24,430,540,460,540,,
C0374,15,22,390,520,390,500,400,510
C0375,23,28,500,610,490,600,500,600
C0376,24,31,520,660,510,650,500,620
C0377,21,27,470,570,500,620,,
C0378,23,29,500,590,510,620,480,580
C0379,,,,,,,,
C0380,,,,,,,,
C0381,20,25,,,,,,
C0382,21,26,470,580,450,620,,
C0383,20,25,470,530,475,550,,
C0384,23,28,493,693,495,670,458,660
C0385,23,29,520,670,510,650,510,630
C0386,21,28,450,610,500,630,470,590
C0387,25,30,530,640,540,680,,
C0388,17,22,410,490,390,520,,
C0389,18,24,390,520,373,530,,
C0390,19,23,380,450,400,480,360,440
C0391,28,32,620,730,630,770,,
C0392,22,28,460,620,530,680,,
C0393,19,24,453,468,420,508,403,445
C0394,25,28,540,620,620,680,,
C0395,21,26,435,575,393,560,,
C0396,23,29,433,610,500,638,460,580
C0397,,,,,,,,
C0398,20,25,,,,,,
C0399,20,23,,,,,,
C0400,20,24,,,500,640,,
