ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0305,Private,Doctoral degree,,32,57,63,25,30,520,640,640,740,520,640,28531,100,57
C0306,Public,Doctoral degree,,46,68,72,22,26,,,,,,,4015,79,69
C0307,Private,Doctoral degree,,32,46,50,18,27,460,540,500,590,,,11061,100,71
C0308,Private,Bachelor's degree,,71,79,79,,,,,,,,,70137,98,75
C0309,Private,Master's degree,,58,63,64,23,28,510,620,510,620,510,610,48680,99,57
C0310,Private,Doctoral degree,,45,59,63,21,26,440,550,480,590,440,540,8364,99,56
C0311,Private,Bachelor's degree,,,,,16,19,,,,,,,35491,89,87
C0312,Private,Doctoral degree,,60,70,71,24,29,520,630,530,630,520,630,31599,96,91
C0313,Private,Bachelor's degree,,28,37,38,19,22,360,470,390,540,,,15519,100,75
C0314,Private,Doctoral degree,,32,47,48,20,25,450,520,490,530,430,520,12043,100,63
C0315,Private,Doctoral degree,,48,59,60,21,26,490,570,440,580,450,590,47043,100,55
C0316,Private,Bachelor's degree,,57,58,58,20,25,490,540,470,510,480,570,69676,100,64
C0317,Private,Doctoral degree,,29,29,43,,,,,,,,,7292,86,99
C0318,Private,Master's degree,,51,62,64,22,27,,,,,,,33860,99,64
C0319,Private,Doctoral degree,,39,55,56,19,25,,,465,580,470,588,26877,99,52
C0320,Public,Doctoral degree,,26,45,51,19,24,450,550,450,580,430,530,3355,96,56
C0321,Private,Doctoral degree,,86,93,94,31,34,690,760,700,790,690,770,330031,63,15
C0322,Public,Master's degree,,4,12,20,16,21,,,,,,,788,77,60
C0323,Private,Doctoral degree,,49,56,57,21,27,,,,,,,4882,100,82
C0324,Private,Master's degree,,39,47,50,20,25,410,500,500,570,,,11632,100,89
C0325,Private,Master's degree,,76,78,80,,,,,,,,,13240,97,21
C0326,Private,Master's degree,,25,39,39,19,25,363,553,453,665,410,528,10037,100,41
C0327,Private,Doctoral degree,,27,38,41,19,25,480,630,440,590,480,580,16852,96,79
C0328,Private,Doctoral degree,,50,61,63,20,24,490,540,480,620,490,570,8035,100,60
C0329,Private,Doctoral degree,,32,54,57,21,25,480,610,440,620,460,600,5868,100,51
C0330,Private,Master's degree,,30,45,47,19,24,455,570,440,545,455,540,2896,100,51
C0331,Public,Doctoral degree,,28,40,43,20,27,465,623,440,665,,,3068,96,60
C0332,Private,Bachelor's degree,,50,50,60,,,,,,,,,8109,86,29
C0333,Public,Doctoral degree,,23,39,44,19,25,450,590,470,620,,,6447,88,79
C0334,Public,Doctoral degree,,28,46,50,20,25,470,580,480,590,460,560,1512,86,84
C0335,Private,Master's degree,,49,56,58,20,25,450,640,460,630,430,610,7214,96,90
C0336,Private,Doctoral degree,,35,42,45,20,25,460,600,470,560,,,27947,100,94
C0337,Public,Doctoral degree,,29,51,56,18,23,,,,,,,2988,82,59
C0338,Private,Doctoral degree,,74,86,87,27,32,600,720,610,700,600,710,115766,81,69
C0339,Private,Doctoral degree,,45,56,57,21,25,470,570,470,570,,,10714,100,55
C0340,Public,Doctoral degree,,35,56,60,20,24,490,590,490,570,480,570,8466,87,61
C0341,Private,Master's degree,,47,63,65,20,27,440,550,460,580,430,550,5294,100,72
C0342,Private,Doctoral degree,,51,64,74,25,30,530,630,530,640,520,630,37146,94,66
C0343,Private,Master's degree,,18,27,27,15,20,390,460,390,480,340,442,5459,95,40
C0344,Private,Bachelor's degree,,74,79,79,25,29,520,650,550,680,530,630,232634,98,61
C0345,Private,Master's degree,,59,70,71,26,31,590,700,560,640,520,640,305019,97,64
C0346,Private,Doctoral degree,,53,62,63,23,29,490,600,500,620,480,600,43352,96,84
C0347,Private,Bachelor's degree,,53,57,57,19,24,450,550,460,560,430,540,77521,100,60
C0348,Private,Master's degree,,54,68,70,21,30,470,620,480,630,,,112373,100,55
C0349,Private,Doctoral degree,,54,61,61,20,26,457,580,460,570,,,5365,100,79
C0350,Private,Bachelor's degree,,68,71,72,23,28,490,600,510,600,480,570,120946,100,67
C0351,Private,Bachelor's degree,,42,45,45,19,26,440,550,430,530,400,520,1504,100,72
C0352,Private,Master's degree,,57,61,62,21,27,440,570,440,560,423,550,19571,99,97
C0353,Public,Master's degree,,6,17,25,19,24,440,540,450,550,430,520,4586,87,83
C0354,Public,Doctoral degree,,15,34,42,19,25,440,550,450,570,430,540,26169,85,70
C0355,Private,Doctoral degree,,45,55,57,19,25,450,550,460,560,440,540,16089,98,84
C0356,Public,Doctoral degree,,15,31,37,19,24,440,550,450,560,430,530,3890,88,69
C0357,Public,Doctoral degree,,22,37,42,16,22,400,510,400,510,390,490,3542,92,83
C0358,Public,Master's degree,,7,20,28,18,23,430,520,420,520,410,510,2357,82,74
C0359,Public,Master's degree,,6,19,26,18,23,430,530,430,530,400,500,1979,86,70
C0360,Public,Doctoral degree,,58,74,77,24,30,520,630,540,660,510,620,20689,71,72
C0361,Public,Master's degree,,8,19,24,17,23,390,510,390,510,390,500,1924,79,76
C0362,Public,Master's degree,,9,23,30,17,23,420,530,430,520,410,510,2762,80,79
C0363,Public,Master's degree,,9,20,24,18,23,410,520,410,510,400,490,1832,91,54
C0364,Private,Doctoral degree,,40,48,48,19,25,440,560,450,570,420,540,33329,100,71
C0365,Private,Doctoral degree,,28,49,52,19,25,460,550,460,570,,,11964,99,58
C0366,Private,Doctoral degree,,55,69,71,21,27,470,580,480,590,460,570,7844,80,95
C0367,Private,Master's degree,,9,9,12,,,,,,,,,,96,
C0368,Private,Doctoral degree,,90,94,95,32,34,660,750,680,770,,,545295,69,22
C0369,Private,Doctoral degree,,41,48,53,19,24,430,530,440,540,410,520,3256,100,73
C0370,Public,Master's degree,,9,23,30,,,440,540,430,540,,,1898,66,61
C0371,Public,Master's degree,,8,17,22,17,23,430,520,430,530,410,510,973,82,72
C0372,Private,Master's degree,,33,50,51,19,23,440,530,450,530,430,520,8224,100,54
C0373,Private,Master's degree,,36,43,44,19,24,430,540,460,540,,,21160,100,64
C0374,Private,Master's degree,,49,60,60,15,22,390,520,390,500,400,510,15698,100,98
C0375,Private,Bachelor's degree,,67,70,71,23,28,500,610,490,600,500,600,87994,98,86
C0376,Private,Master's degree,,65,74,74,24,31,520,660,510,650,500,620,31921,99,88
C0377,Private,Master's degree,,33,50,51,21,27,470,570,500,620,,,10985,100,72
C0378,Private,Doctoral degree,,58,69,70,23,29,500,590,510,620,480,580,42568,92,80
C0379,Private,Bachelor's degree,,63,68,69,,,,,,,,,382150,95,
C0380,Private,Doctoral degree,,40,45,45,,,,,,,,,10169,97,
C0381,Private,Master's degree,,43,52,53,20,25,,,,,,,48494,98,70
C0382,Private,Bachelor's degree,,62,65,65,21,26,470,580,450,620,,,47002,100,66
C0383,Private,Doctoral degree,,59,68,70,20,25,470,530,475,550,,,28657,99,78
C0384,Private,Master's degree,,61,66,67,23,28,493,693,495,670,458,660,61730,100,62
C0385,Private,Bachelor's degree,,64,66,68,23,29,520,670,510,650,510,630,52507,96,64
C0386,Private,Master's degree,,54,61,62,21,28,450,610,500,630,470,590,20267,100,75
C0387,Private,Doctoral degree,,61,69,70,25,30,530,640,540,680,,,36792,99,66
C0388,Private,Doctoral degree,,29,44,47,17,22,410,490,390,520,,,40904,94,77
C0389,Private,Doctoral degree,,30,44,47,18,24,390,520,373,530,,,26227,100,50
C0390,Private,Master's degree,,28,44,48,19,23,380,450,400,480,360,440,9039,100,95
C0391,Private,Bachelor's degree,,81,85,86,28,32,620,730,630,770,,,950232,90,35
C0392,Public,Doctoral degree,,38,63,68,22,28,460,620,530,680,,,20907,88,83
C0393,Private,Bachelor's degree,,17,29,30,19,24,453,468,420,508,403,445,23402,100,60
C0394,Public,Doctoral degree,,48,67,70,25,28,540,620,620,680,,,38901,83,80
C0395,Private,Master's degree,,48,60,61,21,26,435,575,393,560,,,15625,100,69
C0396,Private,Bachelor's degree,,67,75,76,23,29,433,610,500,638,460,580,48610,100,72
C0397,Private,Doctoral degree,,24,27,32,,,,,,,,,8751,97,42
C0398,Private,Master's degree,,48,57,58,20,25,,,,,,,24937,100,53
C0399,Private,Master's degree,,66,73,73,20,23,,,,,,,16789,85,68
C0400,Public,Doctoral degree,,37,62,66,20,24,,,500,640,,,7364,87,83
C0401,Private,Bachelor's degree,,53,62,63,21,27,423,605,470,580,420,560,35950,100,76
C0402,Private,Doctoral degree,,47,59,61,20,25,,,,,,,37468,100,96
C0403,Private,Master's degree,,55,62,65,21,27,,,,,,,40815,100,88
C0404,Private,Master's degree,,24,34,40,19,24,,,,,,,1934,85,58
C0405,Private,Bachelor's degree,,59,62,63,21,26,380,540,440,590,380,520,29408,99,78
C0406,Private,Master's degree,,17,30,34,17,22,380,500,380,550,,,4240,100,58
C0407,Private,Doctoral degree,,36,49,52,21,26,440,545,490,600,410,555,12531,100,87
C0408,Private,Master's degree,,43,58,59,22,28,515,655,485,630,,,8865,100,61
C0409,Private,Bachelor's degree,,27,38,39,18,23,390,510,430,510,380,470,42514,98,59
C0410,Private,Bachelor's degree,,39,48,53,19,26,390,520,420,580,380,510,34551,100,64
C0411,Private,Bachelor's degree,,27,39,40,18,24,390,490,440,530,,,8289,93,50
C0412,Private,Bachelor's degree,,,,,,,,,,,,,22002,92,
C0413,Public,Doctoral degree,,20,35,41,19,25,438,528,475,545,,,13591,96,61
C0414,Public,Master's degree,,19,39,44,18,24,,,,,,,6213,97,89
C0415,Private,Master's degree,,13,32,32,18,24,350,490,420,548,,,22079,100,59
C0416,Public,Doctoral degree,,36,56,62,22,28,,,,,,,52414,79,92
C0417,Private,Master's degree,,33,46,50,20,27,460,610,420,530,430,560,10298,99,45
C0418,Public,Doctoral degree,,26,53,60,,,,,,,,,16992,83,96
C0419,Private,Master's degree,,31,39,43,20,24,420,510,470,520,,,34444,99,54
C0420,Private,Master's degree,,43,48,49,19,24,475,540,500,560,,,54442,95,87
C0421,Private,Master's degree,,41,55,55,19,21,420,540,420,510,,,3655,99,72
C0422,Private,Master's degree,,22,30,34,19,25,390,530,400,550,350,470,5926,100,99
C0423,Private,Master's degree,,,,,,,,,,,,,2018,,
C0424,Public,Master's degree,,24,41,49,19,24,,,,,,,10809,91,79
C0425,Private,Doctoral degree,,44,53,53,19,24,410,500,440,520,,,11456,100,47
C0426,Private,Doctoral degree,,42,51,53,20,25,398,548,458,548,380,485,14161,100,90
C0427,Private,Bachelor's degree,,30,39,42,19,25,460,540,410,500,490,540,26174,100,44
C0428,Private,Master's degree,,45,54,54,18,27,400,510,420,530,,,10922,100,74
C0429,Public,Doctoral degree,,17,31,37,,,,,,,,,27531,92,
C0430,Public,Doctoral degree,,22,39,46,21,26,460,590,477,622,,,17845,89,96
C0431,Private,Bachelor's degree,,21,31,32,18,24,470,500,450,540,410,560,55979,100,45
C0432,Private,Master's degree,,56,63,64,21,27,500,620,508,620,,,23245,99,66
C0433,Private,Doctoral degree,,53,65,66,22,27,490,590,490,590,,,13239,100,95
C0434,Private,Bachelor's degree,,47,60,62,22,26,510,630,513,610,483,610,623784,100,34
C0435,Private,Master's degree,,16,29,30,19,24,,,460,550,,,16159,100,45
C0436,Private,Master's degree,,28,41,41,18,24,420,505,400,525,400,520,4092,95,68
C0437,Private,Bachelor's degree,,80,82,82,26,31,550,670,560,680,550,670,171292,97,69
C0438,Private,Doctoral degree,,24,40,43,19,25,420,520,440,530,,,19906,100,71
C0439,Public,Doctoral degree,,18,33,39,19,24,440,560,450,550,430,530,4256,97,60
C0440,Private,Master's degree,,49,51,57,21,26,410,610,460,560,,,30992,98,82
C0441,Public,Master's degree,,7,15,18,16,20,350,450,323,448,343,420,6393,89,38
C0442,Private,Bachelor's degree,,25,36,38,19,25,440,540,410,555,450,660,47948,100,67
C0443,Public,Doctoral degree,,34,55,60,22,28,490,610,500,630,,,41004,93,69
C0444,Private,Master's degree,,18,36,39,18,24,360,510,400,550,340,480,9542,100,51
C0445,Private,Master's degree,,15,26,29,,,,,,,,,6512,100,
C0446,Public,Doctoral degree,,25,47,53,22,28,470,580,510,610,470,580,41605,97,71
C0447,Private,Master's degree,,5,14,15,15,24,350,500,370,500,390,480,,95,70
C0448,Private,Master's degree,,34,43,48,19,25,490,610,430,570,470,590,19224,100,54
C0449,Public,Doctoral degree,,22,39,45,19,25,420,545,455,570,420,540,5148,99,84
C0450,Public,Doctoral degree,,29,48,53,19,25,430,520,440,540,,,6788,99,82
C0451,Public,Doctoral degree,,14,31,38,19,25,440,560,430,550,,,6511,95,47
C0452,Private,Doctoral degree,,16,27,29,16,22,390,500,380,510,,,11474,100,100
C0453,Private,Master's degree,,18,27,27,,,,,,,,,539,99,
C0454,Private,Doctoral degree,,18,33,40,18,22,440,520,440,525,,,6601,99,81
C0455,Private,Master's degree,,42,55,57,20,25,430,520,430,560,,,11307,100,88
C0456,Private,Bachelor's degree,,67,71,72,24,30,520,660,510,630,,,115910,100,96
C0457,Private,Master's degree,,16,31,34,19,24,460,563,417,513,,,19422,100,74
C0458,Public,Doctoral degree,,25,45,50,18,25,410,580,420,570,,,945,93,92
C0459,Private,Master's degree,,49,57,59,22,28,480,585,495,600,,,163053,100,66
C0460,Private,Bachelor's degree,,5,11,46,17,20,400,470,370,480,,,44901,99,35
C0461,Public,Doctoral degree,,7,24,31,16,20,380,480,360,440,,,2220,96,44
C0462,Public,Bachelor's degree,,7,17,20,18,22,,,,,,,8162,92,61
C0463,Public,Doctoral degree,,38,62,67,23,28,500,620,520,630,,,16082,93,76
C0464,Public,Master's degree,,15,27,33,20,24,440,510,520,540,,,5688,94,83
C0465,Private,Master's degree,,29,40,43,18,23,410,460,430,500,380,480,23979,96,74
C0466,Public,Doctoral degree,,29,45,50,21,26,450,590,490,600,,,8196,94,67
C0467,Private,Doctoral degree,,44,53,55,22,28,520,640,510,610,,,59950,98,87
C0468,Public,Master's degree,,13,31,37,20,24,450,550,490,560,,,2199,95,62
C0469,Public,Doctoral degree,,13,25,32,21,25,470,590,490,620,,,2521,90,50
C0470,Public,Master's degree,,19,35,42,20,24,437,537,482,607,392,520,1322,95,87
C0471,Public,Doctoral degree,,19,34,40,20,25,,,480,640,460,580,3373,96,77
C0472,Public,Master's degree,,19,34,38,19,24,430,518,443,550,,,1610,95,84
C0473,Private,Master's degree,,5,22,28,,,,,,,,,31309,81,48
C0474,Public,Doctoral degree,,13,29,36,20,24,,,,,,,1020,93,45
C0475,Public,Doctoral degree,,8,22,32,17,20,,,400,520,,,1437,98,36
C0476,Public,Master's degree,,4,9,11,15,18,420,650,420,640,380,610,4688,58,49
C0477,Public,Doctoral degree,,13,36,45,21,25,,,490,600,450,590,8535,94,59
C0478,Private,Doctoral degree,,62,74,76,29,32,620,700,620,700,630,720,81125,79,26
C0479,Private,Doctoral degree,,27,43,46,20,26,440,560,420,550,420,530,46059,99,54
C0480,Private,Master's degree,,56,68,69,,,,,,,,,116238,100,74
C0481,Private,Bachelor's degree,,88,93,93,,,,,,,,,133908,43,24
C0482,Private,Bachelor's degree,,88,92,93,30,33,680,760,680,750,690,770,574151,50,15
C0483,Private,Bachelor's degree,,89,92,93,28,32,620,710,640,720,620,720,332477,47,26
C0484,Private,Doctoral degree,,25,40,45,17,21,420,530,430,550,420,530,3673,79,80
C0485,Public,Bachelor's degree,,3,7,12,,,,,,,,,1997,89,
C0486,Public,Master's degree,,38,53,55,,,,,,,,,5883,96,84
C0487,Public,Bachelor's degree,,36,39,44,18,27,400,500,410,500,400,500,3659,97,63
C0488,Public,Bachelor's degree,,14,25,31,18,25,410,530,410,520,390,510,2765,98,85
C0489,Public,Doctoral degree,,36,51,56,21,26,480,590,490,610,460,580,27762,93,81
C0490,Public,Master's degree,,53,72,74,20,24,440,550,480,580,430,530,15340,72,65
C0491,Public,Bachelor's degree,,15,27,30,,,,,,,,,1123,99,
C0492,Private,Doctoral degree,,49,57,58,21,26,470,570,480,580,,,5499,100,86
C0493,Private,Master's degree,,49,54,55,,,430,520,440,530,430,530,8124,98,78
C0494,Public,Doctoral degree,,10,26,34,20,25,450,550,440,560,440,540,4567,93,83
C0495,Private,Master's degree,,35,44,44,16,21,390,490,400,510,390,480,9500,98,72
C0496,Private,Bachelor's degree,,45,51,51,,,,,,,,,25610,99,89
C0497,Public,Doctoral degree,,23,33,38,,,430,530,410,510,400,510,8075,95,73
C0498,Public,Doctoral degree,,13,27,35,17,20,410,490,400,470,390,470,1371,90,52
C0499,Private,Master's degree,,17,33,36,,,,,,,,,6403,98,33
C0500,Public,Doctoral degree,,4,10,14,,,410,480,400,470,,,269,95,36
C0501,Public,Doctoral degree,,22,41,47,18,22,430,530,430,540,420,510,3542,83,59
C0502,Private,Master's degree,,59,67,68,,,,,,,,,103891,91,72
C0503,Private,Master's degree,,55,65,66,18,25,450,580,460,580,460,550,39225,98,81
C0504,Private,Doctoral degree,,87,91,93,30,34,650,740,670,770,660,750,138661,61,18
C0505,Private,Doctoral degree,,79,84,84,25,29,540,627,560,640,,,33559,81,58
C0506,Public,Doctoral degree,,1,2,3,,,,,,,,,523,77,
C0507,Public,Doctoral degree,,37,59,65,24,29,540,640,570,670,530,640,6274,77,63
C0508,Public,Doctoral degree,,66,82,84,,,580,690,620,730,,,12068,73,47
C0509,Public,Doctoral degree,,13,28,32,16,19,400,480,390,480,380,460,5200,93,55
C0510,Public,Doctoral degree,,11,26,34,16,19,410,490,410,490,390,480,3328,95,58
C0511,Private,Master's degree,,61,65,66,17,23,500,600,490,580,490,590,19251,100,67
C0512,Private,Doctoral degree,,45,51,53,20,23,470,590,460,560,,,17107,99,50
C0513,Public,Doctoral degree,,47,64,67,22,26,540,610,540,620,530,610,5455,88,55
C0514,Public,Master's degree,,71,78,79,25,30,570,670,540,650,540,650,14712,72,72
C0515,Private,Master's degree,,10,15,17,,,,,,,,,,93,
C0516,Private,Master's degree,,56,63,63,,,,,,,,,142620,75,81
C0517,Public,Doctoral degree,,40,61,65,21,25,490,580,500,590,500,580,2990,75,60
C0518,Private,Master's degree,,,,,,,,,,,,,1150,,
C0519,Private,Master's degree,,42,53,56,18,23,440,540,450,560,450,540,16880,99,60
C0520,Private,Master's degree,,65,68,68,24,29,520,640,520,640,510,610,109212,93,67
C0521,Private,Master's degree,,64,72,72,21,27,500,600,500,610,,,39288,99,76
C0522,Private,Doctoral degree,,28,42,45,16,21,390,490,390,500,380,490,2819,100,68
C0523,Private,Bachelor's degree,,89,96,96,30,34,670,760,680,770,670,760,930009,65,14
C0524,Private,Master's degree,,43,47,47,,,,,,,,,2744,100,78
C0525,Private,Master's degree,,70,73,73,,,,,,,,,33993,99,74
C0526,Private,Master's degree,,46,53,55,18,22,430,550,410,540,410,530,16957,100,58
C0527,Private,Bachelor's degree,,16,24,24,19,24,450,550,440,570,423,530,2496,100,63
C0528,Private,Doctoral degree,,81,86,87,26,30,540,630,600,680,550,650,43423,77,44
C0529,Private,Doctoral degree,,89,91,91,30,33,620,710,650,740,640,730,137445,59,32
C0530,Private,Doctoral degree,,80,84,84,26,30,570,670,610,720,600,690,43924,62,46
C0531,Private,Doctoral degree,,86,89,90,28,32,600,710,630,760,620,720,109992,65,37
C0532,Public,Master's degree,,29,52,58,19,24,440,540,450,550,,,2933,79,79
C0533,Private,Doctoral degree,,2,2,2,,,,,,,,,4666,33,
C0534,Private,Doctoral degree,,76,80,81,,,,,,,,,96250,89,62
C0535,Private,Master's degree,,35,44,45,16,20,420,515,420,520,,,29310,95,67
C0536,Private,Master's degree,,41,54,58,17,24,410,550,410,530,400,540,10706,100,56
C0537,Private,Master's degree,,80,81,81,26,30,590,670,550,650,580,670,27474,72,48
C0538,Private,Master's degree,,51,57,58,21,26,500,590,500,590,510,600,31821,99,60
C0539,Private,Doctoral degree,,65,69,70,21,25,480,570,500,590,480,570,13758,94,72
C0540,Private,Bachelor's degree,,4,4,40,,,370,460,360,460,,,,86,63
C0541,Public,Master's degree,,20,44,50,18,22,440,540,450,550,430,530,2349,90,72
C0542,Public,Master's degree,,33,47,51,19,25,470,560,480,570,470,560,4663,93,52
C0543,Private,Master's degree,,58,70,71,22,29,516,653,499,639,507,648,20675,99,41
C0544,Private,Bachelor's degree,,56,65,66,,,,,,,,,27750,88,64
C0545,Private,Doctoral degree,,87,95,97,32,35,700,800,710,800,710,800,1392761,75,6
C0546,Private,Bachelor's degree,,89,91,91,,,,,,,,,203172,72,33
C0547,Private,Master's degree,,47,52,53,18,23,440,540,440,530,,,17222,98,76
C0548,Private,Doctoral degree,,35,42,46,21,26,490,600,460,570,490,590,39431,97,67
C0549,Public,Doctoral degree,,28,47,54,22,28,500,600,530,630,,,4819,90,64
C0550,Public,Doctoral degree,,59,71,73,24,29,540,640,570,670,,,9733,88,63
C0551,Public,Doctoral degree,,15,35,44,,,430,550,470,580,,,5242,80,71
C0552,Private,Doctoral degree,,84,91,93,33,35,680,770,750,800,690,780,980404,87,8
C0553,Public,Master's degree,,49,64,67,20,24,460,550,500,600,440,530,6277,89,77
C0554,Private,Master's degree,,54,59,60,,,,,,,,,14432,96,79
C0555,Private,Master's degree,,76,81,82,,,,,,,,,248174,79,47
C0556,Private,Master's degree,,29,37,39,15,20,400,490,390,490,390,490,9579,98,61
C0557,Private,Bachelor's degree,,24,30,30,,,380,480,380,460,380,460,1732,98,60
C0558,Private,Master's degree,,42,46,47,19,23,420,500,420,530,410,492,5331,91,80
C0559,Public,Master's degree,,38,54,57,20,25,480,580,450,550,,,4700,97,67
C0560,Private,Doctoral degree,,0,79,83,30,33,640,730,660,750,640,720,23979,77,32
C0561,Private,Master's degree,,57,67,68,16,22,420,520,400,520,410,530,5787,100,75
C0562,Private,Master's degree,,28,32,32,,,320,440,340,420,330,440,19818,77,64
C0563,Public,Master's degree,,22,39,46,19,24,440,540,450,540,,,2122,88,69
C0564,Private,Doctoral degree,,66,70,71,23,28,520,630,520,620,530,640,34745,97,49
C0565,Private,Bachelor's degree,,,,,,,,,,,,,36777,84,92
C0566,Private,Doctoral degree,,82,85,86,,,,,,,,,462144,73,43
C0567,Private,Doctoral degree,,58,67,69,20,25,450,550,470,580,,,16906,99,70
C0568,Public,Doctoral degree,,30,45,49,21,25,470,570,490,590,460,560,5411,90,72
C0569,Private,Bachelor's degree,,82,84,85,22,28,510,610,520,620,510,620,66806,92,71
C0570,Private,Doctoral degree,,41,52,55,20,25,440,560,450,570,440,560,19361,80,83
C0571,Private,Doctoral degree,,87,91,92,30,33,680,750,690,770,680,770,130838,44,19
C0572,Private,Bachelor's degree,,84,89,91,29,33,660,760,650,750,670,760,593054,68,29
C0573,Private,Master's degree,,50,60,61,21,27,480,580,530,630,470,560,18536,99,58
C0574,Private,Doctoral degree,,52,58,60,22,26,470,570,490,610,,,14958,97,82
C0575,Public,Master's degree,,44,57,59,17,22,450,540,460,550,,,934,88,75
C0576,Private,Bachelor's degree,,71,75,76,,,,,,,,,107486,93,67
C0577,Private,Master's degree,,46,50,54,19,25,440,550,450,540,450,540,31112,100,73
C0578,Private,Master's degree,,90,94,95,30,34,670,780,660,780,680,780,888422,65,17
C0579,Private,Doctoral degree,,70,80,81,,,,,,,,,99061,98,52
C0580,Public,Master's degree,,34,45,49,20,24,450,550,470,560,450,540,2073,88,61
C0581,Private,Master's degree,,39,53,54,19,24,400,530,410,440,,,16118,98,56
C0582,Private,Bachelor's degree,,64,73,74,22,28,520,580,510,590,,,121935,99,56
C0583,Private,Bachelor's degree,,43,61,61,22,27,460,550,470,630,480,630,74030,100,68
C0584,Private,Doctoral degree,,29,52,60,20,26,470,620,450,600,460,580,13019,100,38
C0585,Private,Master's degree,,30,53,59,21,26,,,,,,,14687,99,71
C0586,Private,Bachelor's degree,,2,9,9,,,,,,,,,8524,96,
C0587,Private,Bachelor's degree,,0,4,9,,,,,,,,,9151,96,
C0588,Private,Master's degree,,57,71,73,23,29,518,650,530,660,,,27736,100,70
C0589,Public,Doctoral degree,,21,51,59,20,24,450,550,418,563,,,4019,92,63
C0590,Private,Master's degree,,14,31,37,19,24,,,,,,,15091,100,54
C0591,Private,Master's degree,,8,35,42,,,,,,,,,2572,95,92
C0592,Private,Doctoral degree,,35,52,57,22,28,480,610,500,640,480,610,6804,99,61
C0593,Public,Doctoral degree,,12,30,38,19,24,440,570,460,570,430,540,3155,97,64
C0594,Public,Doctoral degree,,23,42,49,19,24,,,,,,,3364,96,76
C0595,Private,Master's degree,,11,52,61,24,29,490,630,540,660,,,38197,100,62
C0596,Private,Bachelor's degree,,17,37,41,,,,,,,,,1874,100,75
C0597,Private,Master's degree,,30,43,48,21,26,465,605,445,570,453,593,2801,98,68
C0598,Public,Doctoral degree,,33,63,70,21,26,470,590,490,620,465,585,3933,88,83
C0599,Private,Bachelor's degree,,68,76,78,24,29,520,660,530,680,,,46375,94,73
C0600,Private,Bachelor's degree,,72,77,77,25,30,550,670,540,690,540,650,132984,100,67
C0601,Public,Master's degree,,17,36,42,20,25,460,570,490,590,460,570,7292,97,92
C0602,Private,Doctoral degree,,16,39,49,22,28,480,630,550,630,490,580,11860,86,44
C0603,Private,Doctoral degree,,31,36,40,19,25,480,630,510,640,500,570,9934,92,61
C0604,Private,Master's degree,,8,23,29,14,18,,,,,,,985,99,94
C0605,Private,Master's degree,,19,38,44,18,24,,,,,,,1332,100,66
C0606,Public,Doctoral degree,,76,88,90,28,32,620,720,660,760,630,730,185879,63,33
C0607,Public,Doctoral degree,,50,74,78,23,28,420,580,550,690,460,580,45391,63,69
C0608,Public,Doctoral degree,,24,58,66,24,29,520,650,580,680,490,615,13615,97,77
C0609,Public,Doctoral degree,,15,43,52,22,27,,,498,660,470,600,4275,89,63
C0610,Public,Doctoral degree,,9,29,38,18,24,503,675,525,648,533,673,11913,84,78
C0611,Private,Bachelor's degree,,0,3,17,,,,,,,,,8753,95,
C0612,Public,Master's degree,,21,41,48,19,25,,,,,,,1682,90,73
C0613,Public,Doctoral degree,,15,34,43,20,26,,,,,,,3707,92,66
C0614,Private,Master's degree,,26,41,43,17,22,370,420,420,480,,,12979,99,51
C0615,Private,Bachelor's degree,,37,37,38,18,25,420,550,440,580,380,560,27624,99,68
C0616,Public,Doctoral degree,,10,31,39,18,24,,,,,,,6705,94,79
C0617,Private,Master's degree,,21,41,43,19,23,392,560,450,537,,,4399,100,68
C0618,Private,Master's degree,,30,54,57,20,26,480,575,465,570,480,540,3188,100,65
C0619,Private,Bachelor's degree,,31,35,38,17,22,,,,,,,8076,97,59
C0620,Public,Doctoral degree,,11,24,32,19,26,,,,,,,11158,89,76
C0621,Public,Doctoral degree,,24,47,55,19,25,,,,,,,12566,84,83
C0622,Private,Doctoral degree,,47,62,64,20,25,495,623,490,590,,,10458,99,61
C0623,Public,Master's degree,,26,42,46,19,23,,,,,,,3542,90,67
C0624,Private,Bachelor's degree,,38,47,49,20,26,,,,,,,64663,100,75
C0625,Private,Doctoral degree,,63,71,71,22,28,490,640,530,610,,,6617,100,95
C0626,Private,Bachelor's degree,,90,92,92,29,33,660,750,680,770,660,750,350972,77,21
C0627,Private,Master's degree,,62,71,71,22,28,510,650,480,630,,,33370,100,80
C0628,Private,Master's degree,,30,43,46,18,24,480,550,440,560,430,540,9275,99,52
C0629,Private,Master's degree,,52,74,77,22,27,,,,,,,10726,97,96
C0630,Private,Bachelor's degree,,81,82,82,24,30,550,680,530,660,,,48686,99,63
C0631,Private,Doctoral degree,,60,64,66,21,27,480,640,500,600,470,610,19020,100,66
C0632,Private,Bachelor's degree,,85,87,87,29,32,620,740,610,710,630,720,340683,81,34
