ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0070,Public,Doctoral degree,8917,18,41,52,16,22,400,510,410,520,,,1455,82,72
C0071,Public,Doctoral degree,18398,9,29,41,16,20,390,490,400,510,,,1353,85,58
C0072,Public,Doctoral degree,22501,10,34,52,20,26,460,570,490,620,,,3819,68,52
C0073,Public,Master's degree,16356,17,47,56,19,24,450,550,460,570,,,2401,63,72
C0074,Public,Master's degree,14670,4,16,29,15,19,380,470,380,470,,,1234,88,57
C0075,Public,Doctoral degree,23060,14,36,49,16,22,400,510,410,530,,,7161,80,58
C0076,Public,Doctoral degree,38325,14,40,53,19,24,450,550,470,580,,,1476,66,46
C0077,Public,Doctoral degree,14526,11,30,38,16,22,400,500,400,520,,,825,75,69
C0078,Public,Doctoral degree,35586,14,43,60,18,24,440,550,460,590,,,1788,71,31
C0079,Public,Doctoral degree,23258,7,22,36,15,20,380,480,390,510,,,989,82,68
C0080,Public,Doctoral degree,38310,13,35,46,16,22,400,510,400,530,,,2387,74,46
C0081,Public,Doctoral degree,28811,8,30,43,17,22,410,520,430,540,,,1303,79,70
C0082,Public,Doctoral degree,36198,72,89,91,27,33,590,720,630,770,620,750,36917,69,18
C0083,Public,Doctoral degree,33307,51,77,81,23,29,510,640,560,680,530,650,7855,77,45
C0084,Public,Doctoral degree,28895,68,84,86,21,27,460,600,530,670,490,620,8945,77,42
C0085,Public,Doctoral degree,40795,69,88,90,25,31,560,680,600,760,590,710,34375,62,22
C0086,Public,Doctoral degree,21207,41,62,66,20,25,470,580,500,630,480,590,5387,86,62
C0087,Public,Doctoral degree,29517,56,81,86,25,31,550,660,620,730,580,690,15714,62,38
C0088,Public,Doctoral degree,22225,68,79,81,24,29,530,650,560,690,550,660,5527,70,44
C0089,Public,Doctoral degree,17203,50,69,73,20,26,470,610,490,620,470,610,3473,80,60
C0090,Public,Bachelor's degree,1045,43,57,59,21,26,470,580,490,610,,,4413,68,75
C0091,Private,Doctoral degree,7892,59,73,76,24,29,550,640,570,660,560,650,29744,87,45
C0092,Private,Master's degree,4046,54,61,63,20,25,453,550,450,560,450,550,3240,100,91
C0093,Private,Bachelor's degree,914,31,39,41,19,22,440,570,430,550,425,530,821,100,49
C0094,Private,Doctoral degree,2204,,,,,,,,,,,,144214,,
C0095,Private,Master's degree,1328,84,91,93,29,33,650,740,670,760,660,750,456319,53,12
C0096,Private,Master's degree,833,100,100,100,,,,,,,,,,90,100
C0097,Private,Master's degree,2147,36,51,53,20,25,480,570,480,590,480,580,14139,98,78
C0098,Private,Doctoral degree,1190,,,,,,,,,,,,4399,,
C0099,Private,Master's degree,3393,43,53,54,18,22,440,550,440,550,428,550,3713,99,78
C0100,Private,Doctoral degree,3227,,,,,,,,,,,,24825,,
C0101,Private,Bachelor's degree,807,86,89,91,32,35,680,760,720,800,670,760,306579,75,18
C0102,Private,Master's degree,1343,25,32,35,17,21,410,500,410,500,,,10735,100,57
C0103,Public,Master's degree,8293,11,29,40,18,24,450,580,440,560,,,3387,74,80
C0104,Private,Doctoral degree,990,52,57,71,,,,,,,,,129,73,
C0105,Private,Doctoral degree,1356,,,,,,,,,,,,3087,,
C0106,Private,Master's degree,229,69,81,81,,,,,,,,,86488,92,59
C0107,Private,Doctoral degree,8796,39,56,59,20,25,460,550,470,580,460,560,6673,97,39
C0108,Private,Doctoral degree,492,0,76,76,,,,,,,,,,22,
C0109,Private,Doctoral degree,2440,30,53,59,17,22,400,510,410,530,410,520,7322,100,47
C0110,Private,Doctoral degree,1499,48,53,54,22,27,490,620,470,610,,,9560,99,61
C0111,Private,Doctoral degree,9661,67,74,76,25,29,540,640,550,650,550,650,48767,90,54
C0112,Private,Bachelor's degree,745,28,39,41,19,25,432,532,450,565,425,513,38268,98,37
C0113,Private,Doctoral degree,1595,53,61,62,23,28,540,640,500,610,520,620,111600,100,68
C0114,Private,Master's degree,731,,,,,,,,,,,,86534,,
C0115,Private,Doctoral degree,3274,52,64,66,16,22,420,510,420,520,,,42905,100,74
C0116,Private,Doctoral degree,18207,15,31,38,,,,,,,,,19810,41,
C0117,Private,Master's degree,2030,36,47,48,18,22,430,550,430,560,430,510,10368,100,87
C0118,Private,Master's degree,2128,83,86,88,27,31,600,700,610,700,610,700,156752,69,42
C0119,Private,Master's degree,1356,27,38,44,17,22,433,538,420,528,423,530,4625,98,47
C0120,Private,Master's degree,1647,24,34,37,18,25,450,570,440,580,440,560,15273,100,51
C0121,Private,Doctoral degree,6421,40,58,63,22,29,500,640,530,680,500,640,44622,91,73
C0122,Private,Doctoral degree,7315,70,79,80,,,560,660,570,680,570,670,96659,72,37
C0123,Private,Bachelor's degree,1081,73,82,82,,,,,,,,,114135,41,15
C0124,Private,Master's degree,3359,62,70,72,23,28,520,630,520,630,,,12396,93,67
C0125,Private,Bachelor's degree,1610,93,95,96,31,34,690,760,690,780,690,780,1146818,68,14
C0126,Private,Doctoral degree,5147,63,71,73,23,27,510,610,520,620,,,22824,94,67
C0127,Public,Doctoral degree,31899,33,59,66,21,26,480,590,500,610,,,5770,62,31
C0128,Private,Doctoral degree,8321,65,74,75,25,30,540,650,570,670,,,46387,76,49
C0129,Public,Doctoral degree,29905,13,35,45,19,24,430,550,450,560,,,1675,70,64
C0130,Private,Doctoral degree,10112,57,67,69,23,27,530,630,540,640,530,630,24298,71,61
C0131,Public,Master's degree,31278,8,33,48,19,25,440,550,470,600,,,4276,60,63
C0132,Private,Doctoral degree,8770,77,83,84,27,31,590,680,610,700,,,69357,84,51
C0133,Private,Bachelor's degree,1009,80,84,84,29,32,640,733,640,720,660,750,289527,61,36
C0134,Private,Master's degree,1255,38,45,47,21,23,460,570,450,580,450,560,4355,100,55
C0135,Private,Doctoral degree,4257,50,58,60,22,27,500,600,510,610,510,610,35761,91,69
C0136,Public,Master's degree,9120,26,48,54,19,24,450,550,450,560,,,4095,62,82
C0137,Private,Master's degree,2415,47,52,52,18,28,430,550,400,520,,,1856,99,70
C0138,Private,Doctoral degree,41368,78,90,91,29,33,620,720,660,760,640,750,107715,67,20
C0139,Private,Bachelor's degree,366,73,76,80,23,31,590,700,570,640,570,690,33310,82,79
C0140,Private,Bachelor's degree,1321,72,76,76,24,29,520,650,540,660,520,650,52202,99,70
C0141,Private,Doctoral degree,2339,63,66,67,20,25,460,570,470,580,470,580,38487,94,63
C0142,Private,Master's degree,1607,19,35,45,19,25,420,540,440,550,,,10517,79,56
C0143,Public,Master's degree,3211,12,21,25,17,22,440,533,450,550,440,530,233,92,53
C0144,Public,Doctoral degree,22206,16,32,41,20,26,490,600,480,605,,,,71,76
C0145,Public,Doctoral degree,11321,26,42,46,21,25,470,580,470,600,,,,76,91
C0146,Public,Doctoral degree,32017,44,66,70,24,29,520,630,540,650,,,,59,88
C0147,Private,Master's degree,5368,24,34,36,,,,,,,,,1145,98,98
C0148,Private,Master's degree,2061,79,86,87,27,32,610,710,610,720,620,700,317840,53,22
C0149,Public,Doctoral degree,5790,41,66,70,27,31,570,670,630,720,550,650,41918,87,37
C0150,Public,Doctoral degree,31186,37,59,64,22,27,510,620,510,630,,,10399,73,77
C0151,Private,Bachelor's degree,497,32,32,32,,,,,,,,,,95,
C0152,Private,Doctoral degree,11778,67,76,78,25,30,540,660,560,660,520,630,38352,85,77
C0153,Public,Master's degree,4021,17,33,37,20,25,470,570,475,580,,,1710,91,88
C0154,Public,Doctoral degree,9676,13,29,33,18,23,430,540,450,550,,,2499,90,82
C0155,Public,Master's degree,22752,6,17,26,18,23,460,590,470,610,,,73,68,71
C0156,Private,Master's degree,992,20,39,41,,,,,,,,,6936,63,80
C0157,Public,Doctoral degree,12710,27,43,46,20,24,450,570,450,570,,,6428,90,70
C0158,Private,Doctoral degree,9722,42,56,58,21,26,490,600,470,600,,,5991,98,70
C0159,Public,Master's degree,7089,18,28,33,18,23,420,510,420,540,,,2072,94,94
C0160,Public,Master's degree,2404,23,40,42,19,24,430,560,430,550,,,,91,93
C0161,Private,Master's degree,1582,0,15,43,,,380,480,320,480,410,470,2997,83,68
C0162,Private,Doctoral degree,4842,19,25,27,18,22,410,500,420,510,410,500,6939,93,64
C0163,Public,Doctoral degree,11865,20,45,52,19,25,450,540,460,560,450,550,4351,84,64
C0164,Public,Bachelor's degree,1580,,,,,,,,,,,,1591,,
C0165,Private,Master's degree,1922,79,83,84,,,,,,,,,114620,53,36
C0166,Public,Doctoral degree,25911,68,81,83,25,30,550,650,580,680,,,13387,77,54
C0167,Public,Master's degree,5368,32,48,51,20,24,460,550,470,550,470,560,2472,82,65
C0168,Private,Doctoral degree,4919,79,81,82,,,,,,,,,57869,89,71
C0169,Private,Master's degree,281,,,,,,,,,,,,32321,,
C0170,Private,Doctoral degree,6820,51,59,61,20,26,470,570,480,580,,,19519,98,62
C0171,Private,Bachelor's degree,866,31,38,39,,,,,,,,,8945,100,58
