ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating
M241,PG-13,2000,107,
M242,G,1998,75,61
M243,R,2006,136,64
M244,R,2007,117,89
M245,PG,2006,124,16
M246,PG-13,2003,107,36
M247,PG,1998,110,44
M248,PG-13,2006,112,
M249,R,1999,159,78
M250,PG-13,2007,100,69
