ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0070,Public,Doctoral degree,72,5302,6582,6582,6491,16,22,400,510,410,520,,,82
C0071,Public,Doctoral degree,58,5049,6518,6327,6550,16,20,390,490,400,510,,,85
C0072,Public,Doctoral degree,52,4807,6106,6125,6350,20,26,460,570,490,620,,,68
C0073,Public,Master's degree,72,5620,6890,6890,6972,19,24,450,550,460,570,,,63
C0074,Public,Master's degree,57,4849,6095,6095,6100,15,19,380,470,380,470,,,88
C0075,Public,Doctoral degree,58,4879,6263,6228,6287,16,22,400,510,410,530,,,80
C0076,Public,Doctoral degree,46,4858,6120,6195,6186,19,24,450,550,470,580,,,66
C0077,Public,Doctoral degree,69,5091,6414,6309,6550,16,22,400,500,400,520,,,75
C0078,Public,Doctoral degree,31,4810,6240,6052,6240,18,24,440,550,460,590,,,71
C0079,Public,Doctoral degree,68,4848,6095,6101,6344,15,20,380,480,390,510,,,82
C0080,Public,Doctoral degree,46,5076,6488,6296,6525,16,22,400,510,400,530,,,74
C0081,Public,Doctoral degree,70,5195,6573,6620,6628,17,22,410,520,430,540,,,79
C0082,Public,Doctoral degree,18,10940,12834,12874,12864,27,33,590,720,630,770,620,750,69
C0083,Public,Doctoral degree,45,11958,13860,13877,13895,23,29,510,640,560,680,530,650,77
C0084,Public,Doctoral degree,42,11232,13122,13122,13149,21,27,460,600,530,670,490,620,77
C0085,Public,Doctoral degree,22,10781,12686,12692,12697,25,31,560,680,600,760,590,710,62
C0086,Public,Doctoral degree,62,11029,12924,12960,12960,20,25,470,580,500,630,480,590,86
C0087,Public,Doctoral degree,38,11306,13200,13217,13271,25,31,550,660,620,730,580,690,62
C0088,Public,Doctoral degree,44,11686,13595,13671,13746,24,29,530,650,560,690,550,660,70
C0089,Public,Doctoral degree,60,11505,13416,13416,13397,20,26,470,610,490,620,470,610,80
C0090,Public,Bachelor's degree,75,5294,6536,6536,6536,21,26,470,580,490,610,,,68
C0091,Private,Doctoral degree,45,38524,40234,42084,43573,24,29,550,640,570,660,560,650,87
