ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0290,Private,Doctoral degree,9,42041,43780,45609,47514,32,35,720,800,720,790,700,780,67
C0291,Private,Master's degree,91,19610,20644,21730,22792,,,,,,,,,79
C0292,Private,Doctoral degree,54,24396,25456,26476,27598,20,24,440,590,450,580,,,100
C0293,Private,Doctoral degree,60,28858,30618,32295,33990,23,28,530,630,520,630,,,95
C0294,Private,Bachelor's degree,,15750,16650,17595,18795,,,,,,,,,100
C0295,Public,Master's degree,62,9987,10534,10930,11144,19,24,,,,,,,93
C0296,Private,Master's degree,72,28660,30054,31650,32920,21,26,450,550,450,580,,,89
C0297,Private,Bachelor's degree,68,18045,18750,19480,20060,19,26,565,665,530,650,565,585,100
C0298,Public,Doctoral degree,,,,,,,,,,,,,,
C0299,Private,Master's degree,66,20924,22198,22920,23612,19,25,432,550,515,595,400,570,98
C0300,Public,Doctoral degree,71,12056,12656,13122,13410,21,26,490,600,510,640,,,82
C0301,Private,Doctoral degree,69,23240,23184,24137,25516,19,25,,,,,,,96
C0302,Public,Doctoral degree,62,13096,13838,14522,14750,26,31,560,670,700,780,580,670,65
C0303,Private,Bachelor's degree,58,35256,36572,37954,39316,25,30,510,620,570,740,,,99
C0304,Private,Master's degree,61,22800,24550,26500,27800,19,25,410,540,410,580,420,510,100
C0305,Private,Doctoral degree,57,32443,35125,37969,40117,25,30,520,640,640,740,520,640,100
C0306,Public,Doctoral degree,69,11417,11832,12726,13010,22,26,,,,,,,79
C0307,Private,Doctoral degree,71,24780,26110,27000,27530,18,27,460,540,500,590,,,100
C0308,Private,Bachelor's degree,75,33024,34464,36492,38952,,,,,,,,,98
C0309,Private,Master's degree,57,35525,36920,38300,39842,23,28,510,620,510,620,510,610,99
C0310,Private,Doctoral degree,56,23780,24770,25770,26780,21,26,440,550,480,590,440,540,99
C0311,Private,Bachelor's degree,87,21000,23000,17500,17500,16,19,,,,,,,89
C0312,Private,Doctoral degree,91,32114,33294,34578,35573,24,29,520,630,530,630,520,630,96
C0313,Private,Bachelor's degree,75,19310,20400,21400,22400,19,22,360,470,390,540,,,100
C0314,Private,Doctoral degree,63,23130,24190,25340,26050,20,25,450,520,490,530,430,520,100
C0315,Private,Doctoral degree,55,27525,28612,28612,28644,21,26,490,570,440,580,450,590,100
C0316,Private,Bachelor's degree,64,26900,28650,30450,31500,20,25,490,540,470,510,480,570,100
C0317,Private,Doctoral degree,99,18355,18895,18930,15915,,,,,,,,,86
C0318,Private,Master's degree,64,28224,29733,31071,32613,22,27,,,,,,,99
C0319,Private,Doctoral degree,52,19960,21050,22150,23350,19,25,,,465,580,470,588,99
C0320,Public,Doctoral degree,56,11676,12422,13066,12976,19,24,450,550,450,580,430,530,96
C0321,Private,Doctoral degree,15,40223,41983,43779,45527,31,34,690,760,700,790,690,770,63
C0322,Public,Master's degree,60,7492,7879,8089,8460,16,21,,,,,,,77
C0323,Private,Doctoral degree,82,25590,27590,28090,29890,21,27,,,,,,,100
C0324,Private,Master's degree,89,23000,24140,25180,25834,20,25,410,500,500,570,,,100
C0325,Private,Master's degree,21,20100,21600,22200,22800,,,,,,,,,97
C0326,Private,Master's degree,41,24750,25570,26310,26710,19,25,363,553,453,665,410,528,100
C0327,Private,Doctoral degree,79,23000,25000,25950,26500,19,25,480,630,440,590,480,580,96
C0328,Private,Doctoral degree,60,25710,26610,27730,28810,20,24,490,540,480,620,490,570,100
C0329,Private,Doctoral degree,51,24742,25932,26924,27970,21,25,480,610,440,620,460,600,100
C0330,Private,Master's degree,51,25520,27060,28110,28970,19,24,455,570,440,545,455,540,100
C0331,Public,Doctoral degree,60,8101,8581,8952,9178,20,27,465,623,440,665,,,96
C0332,Private,Bachelor's degree,29,29100,30150,30780,31527,,,,,,,,,86
C0333,Public,Doctoral degree,79,10468,11038,11528,12093,19,25,450,590,470,620,,,88
C0334,Public,Doctoral degree,84,8401,8865,9251,9666,20,25,470,580,480,590,460,560,86
C0335,Private,Master's degree,90,21733,22572,23513,24435,20,25,450,640,460,630,430,610,96
C0336,Private,Doctoral degree,94,23370,24610,25840,26830,20,25,460,600,470,560,,,100
C0337,Public,Doctoral degree,59,10149,10719,11182,11767,18,23,,,,,,,82
C0338,Private,Doctoral degree,69,27580,28960,30120,30880,27,32,600,720,610,700,600,710,81
C0339,Private,Doctoral degree,55,24000,24610,25560,26280,21,25,470,570,470,570,,,100
C0340,Public,Doctoral degree,61,8214,8558,8980,9160,20,24,490,590,490,570,480,570,87
C0341,Private,Master's degree,72,22590,23630,24280,24970,20,27,440,550,460,580,430,550,100
C0342,Private,Doctoral degree,66,30558,31948,33138,34368,25,30,530,630,530,640,520,630,94
C0343,Private,Master's degree,40,14200,14880,14880,15620,15,20,390,460,390,480,340,442,95
C0344,Private,Bachelor's degree,61,34905,36970,38750,40640,25,29,520,650,550,680,530,630,98
C0345,Private,Master's degree,64,36694,38284,40020,41450,26,31,590,700,560,640,520,640,97
C0346,Private,Doctoral degree,84,28076,29416,30556,30596,23,29,490,600,500,620,480,600,96
C0347,Private,Bachelor's degree,60,24655,25865,26895,27695,19,24,450,550,460,560,430,540,100
C0348,Private,Master's degree,55,24500,25700,26900,28500,21,30,470,620,480,630,,,100
C0349,Private,Doctoral degree,79,21700,22546,23290,23970,20,26,457,580,460,570,,,100
C0350,Private,Bachelor's degree,67,27500,28850,30268,31760,23,28,490,600,510,600,480,570,100
C0351,Private,Bachelor's degree,72,20700,22900,23900,25450,19,26,440,550,430,530,400,520,100
C0352,Private,Master's degree,97,22330,23210,23780,24040,21,27,440,570,440,560,423,550,99
C0353,Public,Master's degree,83,6545,6708,6876,7013,19,24,440,540,450,550,430,520,87
C0354,Public,Doctoral degree,70,7885,8243,8605,8756,19,25,440,550,450,570,430,540,85
C0355,Private,Doctoral degree,84,22220,23010,23830,24660,19,25,450,550,460,560,440,540,98
C0356,Public,Doctoral degree,69,5740,6032,6325,6698,19,24,440,550,450,560,430,530,88
C0357,Public,Doctoral degree,83,7714,7982,8098,8256,16,22,400,510,400,510,390,490,92
C0358,Public,Master's degree,74,6109,6323,6541,6675,18,23,430,520,420,520,410,510,82
C0359,Public,Master's degree,70,6290,6507,6728,6816,18,23,430,530,430,530,400,500,86
C0360,Public,Doctoral degree,72,9028,9524,10033,10209,24,30,520,630,540,660,510,620,71
C0361,Public,Master's degree,76,6193,6408,6626,6739,17,23,390,510,390,510,390,500,79
C0362,Public,Master's degree,79,6163,6365,6576,6700,17,23,420,530,430,520,410,510,80
C0363,Public,Master's degree,54,6069,6280,6496,6639,18,23,410,520,410,510,400,490,91
C0364,Private,Doctoral degree,71,24920,25950,26746,27920,19,25,440,560,450,570,420,540,100
C0365,Private,Doctoral degree,58,24960,26000,27300,28400,19,25,460,550,460,570,,,99
C0366,Private,Doctoral degree,95,21214,21956,23164,23628,21,27,470,580,480,590,460,570,80
C0367,Private,Master's degree,,13520,13520,14180,11960,,,,,,,,,96
C0368,Private,Doctoral degree,22,39919,41417,42971,44605,32,34,660,750,680,770,,,69
C0369,Private,Doctoral degree,73,15990,16640,18600,19200,19,24,430,530,440,540,410,520,100
C0370,Public,Master's degree,61,6181,6336,6494,6624,,,440,540,430,540,,,66
C0371,Public,Master's degree,72,6704,6872,7045,7186,17,23,430,520,430,530,410,510,82
C0372,Private,Master's degree,54,22810,23950,24440,25180,19,23,440,530,450,530,430,520,100
C0373,Private,Master's degree,64,25260,26330,27350,27350,19,24,430,540,460,540,,,100
C0374,Private,Master's degree,98,24500,27622,27672,27672,15,22,390,520,390,500,400,510,100
C0375,Private,Bachelor's degree,86,31020,32000,33280,34600,23,28,500,610,490,600,500,600,98
C0376,Private,Master's degree,88,26383,27438,28088,28753,24,31,520,660,510,650,500,620,99
C0377,Private,Master's degree,72,25400,26730,27790,28850,21,27,470,570,500,620,,,100
C0378,Private,Doctoral degree,80,29582,31040,32250,33480,23,29,500,590,510,620,480,580,92
C0379,Private,Bachelor's degree,,31050,32450,33950,35650,,,,,,,,,95
C0380,Private,Doctoral degree,,23418,24694,25642,26650,,,,,,,,,97
C0381,Private,Master's degree,70,26306,27226,28314,29448,20,25,,,,,,,98
C0382,Private,Bachelor's degree,66,26242,27844,29540,30700,21,26,470,580,450,620,,,100
C0383,Private,Doctoral degree,78,24610,25760,26950,28000,20,25,470,530,475,550,,,99
C0384,Private,Master's degree,62,30860,32380,34220,35730,23,28,493,693,495,670,458,660,100
C0385,Private,Bachelor's degree,64,31050,32920,34705,36430,23,29,520,670,510,650,510,630,96
C0386,Private,Master's degree,75,23180,24300,25520,26540,21,28,450,610,500,630,470,590,100
C0387,Private,Doctoral degree,66,26960,28382,29556,30889,25,30,530,640,540,680,,,99
C0388,Private,Doctoral degree,77,21590,22620,24530,25520,17,22,410,490,390,520,,,94
C0389,Private,Doctoral degree,50,20980,21790,22680,23530,18,24,390,520,373,530,,,100
C0390,Private,Master's degree,95,20222,21018,21826,22628,19,23,380,450,400,480,360,440,100
C0391,Private,Bachelor's degree,35,37482,39810,41004,43656,28,32,620,730,630,770,,,90
C0392,Public,Doctoral degree,83,6997,7486,7726,7726,22,28,460,620,530,680,,,88
C0393,Private,Bachelor's degree,60,22050,23160,24300,25550,19,24,453,468,420,508,403,445,100
C0394,Public,Doctoral degree,80,7417,7765,8057,8061,25,28,540,620,620,680,,,83
C0395,Private,Master's degree,69,26275,27258,28141,28852,21,26,435,575,393,560,,,100
C0396,Private,Bachelor's degree,72,33480,34885,36100,37530,23,29,433,610,500,638,460,580,100
C0397,Private,Doctoral degree,42,24430,24430,26430,26430,,,,,,,,,97
C0398,Private,Master's degree,53,22980,24050,25000,25990,20,25,,,,,,,100
C0399,Private,Master's degree,68,23260,24360,25400,26310,20,23,,,,,,,85
C0400,Public,Doctoral degree,83,7008,7350,7635,7685,20,24,,,500,640,,,87
C0401,Private,Bachelor's degree,76,23330,24630,25740,26764,21,27,423,605,470,580,420,560,100
C0402,Private,Doctoral degree,96,23910,24920,25970,26740,20,25,,,,,,,100
C0403,Private,Master's degree,88,26837,28123,29529,30999,21,27,,,,,,,100
C0404,Private,Master's degree,58,22350,23356,24400,24400,19,24,,,,,,,85
C0405,Private,Bachelor's degree,78,29020,30960,32740,34250,21,26,380,540,440,590,380,520,99
C0406,Private,Master's degree,58,20234,21720,23210,23210,17,22,380,500,380,550,,,100
C0407,Private,Doctoral degree,87,22280,23390,24550,25580,21,26,440,545,490,600,410,555,100
C0408,Private,Master's degree,61,20475,21475,22800,23900,22,28,515,655,485,630,,,100
C0409,Private,Bachelor's degree,59,20026,21677,22624,23305,18,23,390,510,430,510,380,470,98
C0410,Private,Bachelor's degree,64,20700,21700,22600,23500,19,26,390,520,420,580,380,510,100
C0411,Private,Bachelor's degree,50,18000,18400,19050,14800,18,24,390,490,440,530,,,93
C0412,Private,Bachelor's degree,,5528,6032,6579,6579,,,,,,,,,92
C0413,Public,Doctoral degree,61,4636,4952,5272,5614,19,25,438,528,475,545,,,96
C0414,Public,Master's degree,89,3942,4082,4320,4358,18,24,,,,,,,97
C0415,Private,Master's degree,59,20040,21030,22500,23430,18,24,350,490,420,548,,,100
C0416,Public,Doctoral degree,92,8733,9222,9678,10107,22,28,,,,,,,79
C0417,Private,Master's degree,45,20712,21716,22238,23650,20,27,460,610,420,530,430,560,99
C0418,Public,Doctoral degree,96,7376,7657,8047,8585,,,,,,,,,83
C0419,Private,Master's degree,54,20200,21400,22600,23800,20,24,420,510,470,520,,,99
C0420,Private,Master's degree,87,19625,20600,21810,22891,19,24,475,540,500,560,,,95
C0421,Private,Master's degree,72,20250,21500,21500,22290,19,21,420,540,420,510,,,99
C0422,Private,Master's degree,99,20400,21680,23000,23964,19,25,390,530,400,550,350,470,100
C0423,Private,Master's degree,,,,,,,,,,,,,,
C0424,Public,Master's degree,79,4848,5162,5494,5906,19,24,,,,,,,91
C0425,Private,Doctoral degree,47,19960,20770,21980,23170,19,24,410,500,440,520,,,100
C0426,Private,Doctoral degree,90,20656,21680,22756,23886,20,25,398,548,458,548,380,485,100
C0427,Private,Bachelor's degree,44,19000,20150,21200,21200,19,25,460,540,410,500,490,540,100
C0428,Private,Master's degree,74,20630,21740,21740,22730,18,27,400,510,420,530,,,100
C0429,Public,Doctoral degree,,5054,5270,5486,5774,,,,,,,,,92
C0430,Public,Doctoral degree,96,5890,6155,6442,6926,21,26,460,590,477,622,,,89
C0431,Private,Bachelor's degree,45,9500,9600,10100,10620,18,24,470,500,450,540,410,560,100
C0432,Private,Master's degree,66,23303,24229,25311,26076,21,27,500,620,508,620,,,99
C0433,Private,Doctoral degree,95,30310,32140,33270,34890,22,27,490,590,490,590,,,100
C0434,Private,Bachelor's degree,34,910,910,21880,23170,22,26,510,630,513,610,483,610,100
C0435,Private,Master's degree,45,17590,18340,19140,19640,19,24,,,460,550,,,100
C0436,Private,Master's degree,68,19710,20740,21600,22196,18,24,420,505,400,525,400,520,95
C0437,Private,Bachelor's degree,69,32600,34000,35000,36020,26,31,550,670,560,680,550,670,97
C0438,Private,Doctoral degree,71,17000,18000,19000,20000,19,25,420,520,440,530,,,100
C0439,Public,Doctoral degree,60,7084,6960,7320,7536,19,24,440,560,450,550,430,530,97
C0440,Private,Master's degree,82,27640,29300,30770,32310,21,26,410,610,460,560,,,98
C0441,Public,Master's degree,38,5520,5808,6096,6276,16,20,350,450,323,448,343,420,89
C0442,Private,Bachelor's degree,67,18180,19515,20365,21200,19,25,440,540,410,555,450,660,100
C0443,Public,Doctoral degree,69,8610,9128,9676,10110,22,28,490,610,500,630,,,93
C0444,Private,Master's degree,51,15176,15150,16778,17418,18,24,360,510,400,550,340,480,100
C0445,Private,Master's degree,,18950,20030,21230,22070,,,,,,,,,100
C0446,Public,Doctoral degree,71,8424,8930,9662,9946,22,28,470,580,510,610,470,580,97
C0447,Private,Master's degree,70,13350,13350,13350,8673,15,24,350,500,370,500,390,480,95
C0448,Private,Master's degree,54,19050,19950,20850,22150,19,25,490,610,430,570,470,590,100
C0449,Public,Doctoral degree,84,6492,6942,7284,7498,19,25,420,545,455,570,420,540,99
C0450,Public,Doctoral degree,82,6264,6576,6840,7044,19,25,430,520,440,540,,,99
C0451,Public,Doctoral degree,47,7128,7584,8064,8376,19,25,440,560,430,550,,,95
C0452,Private,Doctoral degree,100,15250,16250,17050,17750,16,22,390,500,380,510,,,100
C0453,Private,Master's degree,,15890,17080,18106,18106,,,,,,,,,99
C0454,Private,Doctoral degree,81,18150,19350,20550,22425,18,22,440,520,440,525,,,99
C0455,Private,Master's degree,88,24845,25845,26595,27345,20,25,430,520,430,560,,,100
C0456,Private,Bachelor's degree,96,26740,28250,29865,31560,24,30,520,660,510,630,,,100
C0457,Private,Master's degree,74,19015,20079,21025,22000,19,24,460,563,417,513,,,100
C0458,Public,Doctoral degree,92,7560,8084,8472,8722,18,25,410,580,420,570,,,93
C0459,Private,Master's degree,66,24080,25290,29500,30740,22,28,480,585,495,600,,,100
C0460,Private,Bachelor's degree,35,13880,14770,14770,16094,17,20,400,470,370,480,,,99
C0461,Public,Doctoral degree,44,4428,4886,5273,5950,16,20,380,480,360,440,,,96
C0462,Public,Bachelor's degree,61,3816,4402,4618,5337,18,22,,,,,,,92
C0463,Public,Doctoral degree,76,5764,6354,6989,7873,23,28,500,620,520,630,,,93
C0464,Public,Master's degree,83,4125,4494,4943,5606,20,24,440,510,520,540,,,94
C0465,Private,Master's degree,74,13030,13380,13780,14120,18,23,410,460,430,500,380,480,96
C0466,Public,Doctoral degree,67,5545,5896,6574,7302,21,26,450,590,490,600,,,94
C0467,Private,Doctoral degree,87,31754,33552,35182,36860,22,28,520,640,510,610,,,98
C0468,Public,Master's degree,62,3987,4383,5088,5701,20,24,450,550,490,560,,,95
C0469,Public,Doctoral degree,50,4759,5214,5850,6578,21,25,470,590,490,620,,,90
C0470,Public,Master's degree,87,4292,4737,5679,6468,20,24,437,537,482,607,392,520,95
C0471,Public,Doctoral degree,77,4636,5101,5443,6318,20,25,,,480,640,460,580,96
C0472,Public,Master's degree,84,4461,5049,5557,6207,19,24,430,518,443,550,,,95
C0473,Private,Master's degree,48,14108,14699,9710,9950,,,,,,,,,81
C0474,Public,Doctoral degree,45,4000,4604,5242,5715,20,24,,,,,,,93
C0475,Public,Doctoral degree,36,4584,5074,5810,6630,17,20,,,400,520,,,98
C0476,Public,Master's degree,49,3360,3906,4372,4911,15,18,420,650,420,640,380,610,58
C0477,Public,Doctoral degree,59,4426,4864,5374,6192,21,25,,,490,600,450,590,94
C0478,Private,Doctoral degree,26,41884,43434,45240,46930,29,32,620,700,620,700,630,720,79
C0479,Private,Doctoral degree,54,17100,17900,18700,20560,20,26,440,560,420,550,420,530,99
C0480,Private,Master's degree,74,34380,36063,37701,38952,,,,,,,,,100
C0481,Private,Bachelor's degree,24,41360,42800,44300,45650,,,,,,,,,43
C0482,Private,Bachelor's degree,15,41565,42816,44118,45446,30,33,680,760,680,750,690,770,50
C0483,Private,Bachelor's degree,26,41380,42820,44320,45760,28,32,620,710,640,720,620,720,47
C0484,Private,Doctoral degree,80,13450,14435,14540,15130,17,21,420,530,430,550,420,530,79
C0485,Public,Bachelor's degree,,7125,7448,7448,7500,,,,,,,,,89
C0486,Public,Master's degree,84,9022,9367,9367,9167,,,,,,,,,96
C0487,Public,Bachelor's degree,63,7163,7575,7575,7575,18,27,400,500,410,500,400,500,97
C0488,Public,Bachelor's degree,85,7075,7480,7480,7490,18,25,410,530,410,520,390,510,98
C0489,Public,Doctoral degree,81,10142,10588,10594,10600,21,26,480,590,490,610,460,580,93
C0490,Public,Master's degree,65,10525,11305,11525,11950,20,24,440,550,480,580,430,530,72
C0491,Public,Bachelor's degree,,7090,7300,7300,7300,,,,,,,,,99
C0492,Private,Doctoral degree,86,29330,30500,31870,33145,21,26,470,570,480,580,,,100
C0493,Private,Master's degree,78,27345,28700,30030,30990,,,430,520,440,530,430,530,98
C0494,Public,Doctoral degree,83,8538,8900,7776,8920,20,25,450,550,440,560,440,540,93
C0495,Private,Master's degree,72,21680,22770,22770,22770,16,21,390,490,400,510,390,480,98
C0496,Private,Bachelor's degree,89,22500,23540,24100,25000,,,,,,,,,99
C0497,Public,Doctoral degree,73,7330,7500,7646,7838,,,430,530,410,510,400,510,95
C0498,Public,Doctoral degree,52,6154,6347,6639,6971,17,20,410,490,400,470,390,470,90
C0499,Private,Master's degree,33,20180,20180,20180,21020,,,,,,,,,98
C0500,Public,Doctoral degree,36,5547,5732,6065,6252,,,410,480,400,470,,,95
C0501,Public,Doctoral degree,59,6904,7128,7436,7728,18,22,430,530,430,540,420,510,83
C0502,Private,Master's degree,72,35142,36554,37640,39084,,,,,,,,,91
C0503,Private,Master's degree,81,29860,31060,32300,33280,18,25,450,580,460,580,460,550,98
C0504,Private,Doctoral degree,18,40680,42280,43390,45470,30,34,650,740,670,770,660,750,61
C0505,Private,Doctoral degree,58,39350,40870,42430,43250,25,29,540,627,560,640,,,81
C0506,Public,Doctoral degree,,6000,6168,6384,6552,,,,,,,,,77
C0507,Public,Doctoral degree,63,9171,9467,9764,10068,24,29,540,640,570,670,530,640,77
C0508,Public,Doctoral degree,47,8416,8655,8908,9162,,,580,690,620,730,,,73
C0509,Public,Doctoral degree,55,6305,6482,6713,6998,16,19,400,480,390,480,380,460,93
C0510,Public,Doctoral degree,58,6727,6928,7012,7218,16,19,410,490,410,490,390,480,95
C0511,Private,Master's degree,67,30350,31536,32954,34644,17,23,500,600,490,580,490,590,100
C0512,Private,Doctoral degree,50,28350,29700,30850,32050,20,23,470,590,460,560,,,99
C0513,Public,Doctoral degree,55,6908,7332,7700,8128,22,26,540,610,540,620,530,610,88
C0514,Public,Master's degree,72,13630,14445,14773,14864,25,30,570,670,540,650,540,650,72
C0515,Private,Master's degree,,7920,7920,7920,9830,,,,,,,,,93
C0516,Private,Master's degree,81,42192,43656,45004,46296,,,,,,,,,75
C0517,Public,Doctoral degree,60,7656,7906,8132,8342,21,25,490,580,500,590,500,580,75
C0518,Private,Master's degree,,,,,,,,,,,,,,
C0519,Private,Master's degree,60,22090,23636,25310,27082,18,23,440,540,450,560,450,540,99
C0520,Private,Master's degree,67,36738,38542,39944,41120,24,29,520,640,520,640,510,610,93
C0521,Private,Master's degree,76,33280,34780,35800,36960,21,27,500,600,500,610,,,99
C0522,Private,Doctoral degree,68,26700,27902,29158,30040,16,21,390,490,390,500,380,490,100
C0523,Private,Bachelor's degree,14,40862,42898,44610,46574,30,34,670,760,680,770,670,760,65
C0524,Private,Master's degree,78,28204,29860,30676,32134,,,,,,,,,100
C0525,Private,Master's degree,74,31305,32545,33805,34975,,,,,,,,,99
C0526,Private,Master's degree,58,25515,27045,28532,29959,18,22,430,550,410,540,410,530,100
C0527,Private,Bachelor's degree,63,26880,28490,30340,31500,19,24,450,550,440,570,423,530,100
C0528,Private,Doctoral degree,44,37058,38328,39628,41110,26,30,540,630,600,680,550,650,77
C0529,Private,Doctoral degree,32,40542,42204,43878,45622,30,33,620,710,650,740,640,730,59
C0530,Private,Doctoral degree,46,39864,41420,42994,44880,26,30,570,670,610,720,600,690,62
C0531,Private,Doctoral degree,37,40289,41860,44294,45856,28,32,600,710,630,760,620,720,65
C0532,Public,Master's degree,79,7053,7552,8053,8053,19,24,440,540,450,550,,,79
C0533,Private,Doctoral degree,,13240,13240,13240,13392,,,,,,,,,33
C0534,Private,Doctoral degree,62,36420,37350,38450,39550,,,,,,,,,89
C0535,Private,Master's degree,67,30815,32210,33465,34715,16,20,420,515,420,520,,,95
C0536,Private,Master's degree,56,23772,25300,26884,27922,17,24,410,550,410,530,400,540,100
C0537,Private,Master's degree,48,31422,32728,34198,35730,26,30,590,670,550,650,580,670,72
C0538,Private,Master's degree,60,30765,32300,33650,34670,21,26,500,590,500,590,510,600,99
C0539,Private,Doctoral degree,72,26248,27130,28166,28926,21,25,480,570,500,590,480,570,94
C0540,Private,Bachelor's degree,63,24600,25778,26775,27575,,,370,460,360,460,,,86
C0541,Public,Master's degree,72,7800,8300,8710,8985,18,22,440,540,450,550,430,530,90
C0542,Public,Master's degree,52,7065,7580,8080,8080,19,25,470,560,480,570,470,560,93
C0543,Private,Master's degree,41,29458,30626,32100,33230,22,29,516,653,499,639,507,648,99
C0544,Private,Bachelor's degree,64,41299,42900,44700,46625,,,,,,,,,88
C0545,Private,Doctoral degree,6,38415,39851,39966,42292,32,35,700,800,710,800,710,800,75
C0546,Private,Bachelor's degree,33,39892,41488,43400,44272,,,,,,,,,72
C0547,Private,Master's degree,76,26000,27500,29000,30000,18,23,440,540,440,530,,,98
C0548,Private,Doctoral degree,67,29525,30545,31575,32375,21,26,490,600,460,570,490,590,97
C0549,Public,Doctoral degree,64,10506,11297,11847,12097,22,28,500,600,530,630,,,90
C0550,Public,Doctoral degree,63,11917,12797,13415,13443,24,29,540,640,570,670,,,88
C0551,Public,Doctoral degree,71,10611,11407,11966,11966,,,430,550,470,580,,,80
C0552,Private,Doctoral degree,8,39212,40732,42050,43498,33,35,680,770,750,800,690,780,87
C0553,Public,Master's degree,77,8293,6867,7202,7127,20,24,460,550,500,600,440,530,89
C0554,Private,Master's degree,79,31380,32865,33920,35085,,,,,,,,,96
C0555,Private,Master's degree,47,40256,41456,41456,41456,,,,,,,,,79
C0556,Private,Master's degree,61,24500,25915,26909,29377,15,20,400,490,390,490,390,490,98
C0557,Private,Bachelor's degree,60,25100,26600,27850,28950,,,380,480,380,460,380,460,98
C0558,Private,Master's degree,80,28870,30400,31700,32370,19,23,420,500,420,530,410,492,91
C0559,Public,Master's degree,67,7575,8075,8525,8525,20,25,480,580,450,550,,,97
C0560,Private,Doctoral degree,32,37142,38602,40086,41686,30,33,640,730,660,750,640,720,77
C0561,Private,Master's degree,75,27157,28208,29112,30132,16,22,420,520,400,520,410,530,100
C0562,Private,Master's degree,64,21400,22042,23744,24930,,,320,440,340,420,330,440,77
C0563,Public,Master's degree,69,7230,7670,8050,8130,19,24,440,540,450,540,,,88
C0564,Private,Doctoral degree,49,32230,33356,34350,35380,23,28,520,630,520,620,530,640,97
C0565,Private,Bachelor's degree,92,41982,43840,45125,46713,,,,,,,,,84
C0566,Private,Doctoral degree,43,38898,40070,41460,43114,,,,,,,,,73
C0567,Private,Doctoral degree,70,28585,30660,31690,32560,20,25,450,550,470,580,,,99
C0568,Public,Doctoral degree,72,10389,11135,11681,11681,21,25,470,570,490,590,460,560,90
C0569,Private,Bachelor's degree,71,32620,33920,35110,36160,22,28,510,610,520,620,510,620,92
C0570,Private,Doctoral degree,83,28526,29894,30792,31716,20,25,440,560,450,570,440,560,80
C0571,Private,Doctoral degree,19,41598,42962,44666,46598,30,33,680,750,690,770,680,770,44
C0572,Private,Bachelor's degree,29,39666,40660,42082,43554,29,33,660,760,650,750,670,760,68
C0573,Private,Master's degree,58,23845,25025,27108,29200,21,27,480,580,530,630,470,560,99
C0574,Private,Doctoral degree,82,29812,30844,31912,33020,22,26,470,570,490,610,,,97
C0575,Public,Master's degree,75,7431,7886,8297,8694,17,22,450,540,460,550,,,88
C0576,Private,Bachelor's degree,67,41084,41894,43774,45074,,,,,,,,,93
C0577,Private,Master's degree,73,28940,30055,30955,31880,19,25,440,550,450,540,450,540,100
C0578,Private,Master's degree,17,41434,43190,44920,46600,30,34,670,780,660,780,680,780,65
C0579,Private,Doctoral degree,52,38700,40030,41380,42778,,,,,,,,,98
C0580,Public,Master's degree,61,7155,7653,8157,8157,20,24,450,550,470,560,450,540,88
C0581,Private,Master's degree,56,25900,27440,29156,30758,19,24,400,530,410,440,,,98
C0582,Private,Bachelor's degree,56,31186,32662,34194,36051,22,28,520,580,510,590,,,99
C0583,Private,Bachelor's degree,68,27580,29230,30960,32660,22,27,460,550,470,630,480,630,100
C0584,Private,Doctoral degree,38,22242,23428,24478,25470,20,26,470,620,450,600,460,580,100
C0585,Private,Master's degree,71,23206,24286,25250,26460,21,26,,,,,,,99
C0586,Private,Bachelor's degree,,7380,7560,7740,8100,,,,,,,,,96
C0587,Private,Bachelor's degree,,7380,7560,7740,8100,,,,,,,,,96
C0588,Private,Master's degree,70,24870,25565,26705,28250,23,29,518,650,530,660,,,100
C0589,Public,Doctoral degree,63,9688,10024,10950,11220,20,24,450,550,418,563,,,92
C0590,Private,Master's degree,54,21182,21600,22664,23563,19,24,,,,,,,100
C0591,Private,Master's degree,92,11964,12536,13192,14096,,,,,,,,,95
C0592,Private,Doctoral degree,61,30660,32500,34530,35920,22,28,480,610,500,640,480,610,99
C0593,Public,Doctoral degree,64,8378,8684,9026,9364,19,24,440,570,460,570,430,540,97
C0594,Public,Doctoral degree,76,9930,9934,10354,10466,19,24,,,,,,,96
C0595,Private,Master's degree,62,29206,29988,33946,35600,24,29,490,630,540,660,,,100
C0596,Private,Bachelor's degree,75,14250,11860,12424,12235,,,,,,,,,100
C0597,Private,Master's degree,68,21178,22388,23260,24168,21,26,465,605,445,570,453,593,98
C0598,Public,Doctoral degree,83,9088,9716,10078,10716,21,26,470,590,490,620,465,585,88
C0599,Private,Bachelor's degree,73,26510,27020,27710,28720,24,29,520,660,530,680,,,94
C0600,Private,Bachelor's degree,67,34417,35920,37810,39450,25,30,550,670,540,690,540,650,100
C0601,Public,Master's degree,92,8764,9364,9640,9960,20,25,460,570,490,590,460,570,97
C0602,Private,Doctoral degree,44,24633,26278,27870,28948,22,28,480,630,550,630,490,580,86
