ID,Control,Highest degree offered
C0219,Private,Doctoral degree
C0220,Private,Doctoral degree
C0221,Private,Doctoral degree
C0222,Private,Doctoral degree
C0223,Public,Bachelor's degree
C0224,Public,Doctoral degree
C0225,Private,Doctoral degree
C0226,Private,Doctoral degree
C0227,Private,Master's degree
C0228,Private,Master's degree
C0229,Private,Master's degree
C0230,Private,Master's degree
C0231,Public,Doctoral degree
C0232,Private,Bachelor's degree
C0233,Public,Master's degree
C0234,Public,Doctoral degree
C0235,Private,Bachelor's degree
C0236,Private,Doctoral degree
C0237,Private,Master's degree
C0238,Private,Doctoral degree
C0239,Private,Bachelor's degree
C0240,Public,Master's degree
C0241,Public,Doctoral degree
C0242,Private,Master's degree
C0243,Public,Bachelor's degree
C0244,Private,Bachelor's degree
C0245,Private,Doctoral degree
C0246,Public,Master's degree
C0247,Public,Doctoral degree
C0248,Public,Master's degree
C0249,Public,Doctoral degree
C0250,Public,Doctoral degree
C0251,Public,Doctoral degree
C0252,Public,Doctoral degree
C0253,Public,Doctoral degree
C0254,Private,Master's degree
C0255,Private,Doctoral degree
C0256,Private,Doctoral degree
C0257,Private,Bachelor's degree
C0258,Public,Doctoral degree
C0259,Private,Master's degree
C0260,Private,Bachelor's degree
C0261,Private,Doctoral degree
C0262,Private,Master's degree
C0263,Public,Master's degree
C0264,Private,Master's degree
C0265,Private,Bachelor's degree
C0266,Public,Master's degree
C0267,Private,Master's degree
C0268,Private,Bachelor's degree
C0269,Private,Bachelor's degree
C0270,Public,Doctoral degree
C0271,Private,Master's degree
C0272,Public,Doctoral degree
C0273,Private,Master's degree
C0274,Public,Doctoral degree
C0275,Public,Doctoral degree
C0276,Private,Master's degree
C0277,Public,Bachelor's degree
C0278,Public,Doctoral degree
C0279,Public,Doctoral degree
C0280,Public,Doctoral degree
C0281,Private,Master's degree
C0282,Public,Bachelor's degree
C0283,Private,Doctoral degree
C0284,Private,Bachelor's degree
C0285,Private,Bachelor's degree
C0286,Private,Doctoral degree
C0287,Private,Bachelor's degree
C0288,Private,Doctoral degree
C0289,Public,Doctoral degree
C0290,Private,Doctoral degree
C0291,Private,Master's degree
C0292,Private,Doctoral degree
C0293,Private,Doctoral degree
C0294,Private,Bachelor's degree
C0295,Public,Master's degree
C0296,Private,Master's degree
C0297,Private,Bachelor's degree
C0298,Public,Doctoral degree
C0299,Private,Master's degree
C0300,Public,Doctoral degree
C0301,Private,Doctoral degree
C0302,Public,Doctoral degree
C0303,Private,Bachelor's degree
C0304,Private,Master's degree
C0305,Private,Doctoral degree
C0306,Public,Doctoral degree
C0307,Private,Doctoral degree
C0308,Private,Bachelor's degree
C0309,Private,Master's degree
C0310,Private,Doctoral degree
C0311,Private,Bachelor's degree
C0312,Private,Doctoral degree
C0313,Private,Bachelor's degree
C0314,Private,Doctoral degree
C0315,Private,Doctoral degree
C0316,Private,Bachelor's degree
C0317,Private,Doctoral degree
C0318,Private,Master's degree
C0319,Private,Doctoral degree
C0320,Public,Doctoral degree
C0321,Private,Doctoral degree
C0322,Public,Master's degree
C0323,Private,Doctoral degree
C0324,Private,Master's degree
C0325,Private,Master's degree
C0326,Private,Master's degree
C0327,Private,Doctoral degree
C0328,Private,Doctoral degree
C0329,Private,Doctoral degree
C0330,Private,Master's degree
C0331,Public,Doctoral degree
C0332,Private,Bachelor's degree
C0333,Public,Doctoral degree
C0334,Public,Doctoral degree
C0335,Private,Master's degree
C0336,Private,Doctoral degree
C0337,Public,Doctoral degree
C0338,Private,Doctoral degree
C0339,Private,Doctoral degree
C0340,Public,Doctoral degree
C0341,Private,Master's degree
C0342,Private,Doctoral degree
C0343,Private,Master's degree
C0344,Private,Bachelor's degree
C0345,Private,Master's degree
C0346,Private,Doctoral degree
C0347,Private,Bachelor's degree
C0348,Private,Master's degree
C0349,Private,Doctoral degree
C0350,Private,Bachelor's degree
C0351,Private,Bachelor's degree
C0352,Private,Master's degree
C0353,Public,Master's degree
C0354,Public,Doctoral degree
C0355,Private,Doctoral degree
C0356,Public,Doctoral degree
C0357,Public,Doctoral degree
C0358,Public,Master's degree
C0359,Public,Master's degree
C0360,Public,Doctoral degree
C0361,Public,Master's degree
C0362,Public,Master's degree
C0363,Public,Master's degree
C0364,Private,Doctoral degree
C0365,Private,Doctoral degree
C0366,Private,Doctoral degree
C0367,Private,Master's degree
C0368,Private,Doctoral degree
C0369,Private,Doctoral degree
C0370,Public,Master's degree
C0371,Public,Master's degree
C0372,Private,Master's degree
C0373,Private,Master's degree
C0374,Private,Master's degree
C0375,Private,Bachelor's degree
C0376,Private,Master's degree
C0377,Private,Master's degree
C0378,Private,Doctoral degree
C0379,Private,Bachelor's degree
C0380,Private,Doctoral degree
C0381,Private,Master's degree
C0382,Private,Bachelor's degree
C0383,Private,Doctoral degree
C0384,Private,Master's degree
C0385,Private,Bachelor's degree
C0386,Private,Master's degree
C0387,Private,Doctoral degree
C0388,Private,Doctoral degree
C0389,Private,Doctoral degree
C0390,Private,Master's degree
C0391,Private,Bachelor's degree
C0392,Public,Doctoral degree
C0393,Private,Bachelor's degree
C0394,Public,Doctoral degree
C0395,Private,Master's degree
C0396,Private,Bachelor's degree
C0397,Private,Doctoral degree
C0398,Private,Master's degree
C0399,Private,Master's degree
C0400,Public,Doctoral degree
C0401,Private,Bachelor's degree
C0402,Private,Doctoral degree
C0403,Private,Master's degree
C0404,Private,Master's degree
C0405,Private,Bachelor's degree
C0406,Private,Master's degree
C0407,Private,Doctoral degree
C0408,Private,Master's degree
C0409,Private,Bachelor's degree
C0410,Private,Bachelor's degree
C0411,Private,Bachelor's degree
C0412,Private,Bachelor's degree
C0413,Public,Doctoral degree
C0414,Public,Master's degree
C0415,Private,Master's degree
C0416,Public,Doctoral degree
C0417,Private,Master's degree
C0418,Public,Doctoral degree
C0419,Private,Master's degree
C0420,Private,Master's degree
C0421,Private,Master's degree
C0422,Private,Master's degree
C0423,Private,Master's degree
C0424,Public,Master's degree
C0425,Private,Doctoral degree
C0426,Private,Doctoral degree
C0427,Private,Bachelor's degree
C0428,Private,Master's degree
C0429,Public,Doctoral degree
C0430,Public,Doctoral degree
C0431,Private,Bachelor's degree
C0432,Private,Master's degree
C0433,Private,Doctoral degree
C0434,Private,Bachelor's degree
C0435,Private,Master's degree
C0436,Private,Master's degree
C0437,Private,Bachelor's degree
C0438,Private,Doctoral degree
C0439,Public,Doctoral degree
C0440,Private,Master's degree
C0441,Public,Master's degree
C0442,Private,Bachelor's degree
C0443,Public,Doctoral degree
C0444,Private,Master's degree
C0445,Private,Master's degree
C0446,Public,Doctoral degree
C0447,Private,Master's degree
C0448,Private,Master's degree
C0449,Public,Doctoral degree
C0450,Public,Doctoral degree
C0451,Public,Doctoral degree
C0452,Private,Doctoral degree
C0453,Private,Master's degree
C0454,Private,Doctoral degree
C0455,Private,Master's degree
C0456,Private,Bachelor's degree
C0457,Private,Master's degree
C0458,Public,Doctoral degree
C0459,Private,Master's degree
C0460,Private,Bachelor's degree
C0461,Public,Doctoral degree
C0462,Public,Bachelor's degree
C0463,Public,Doctoral degree
C0464,Public,Master's degree
C0465,Private,Master's degree
C0466,Public,Doctoral degree
C0467,Private,Doctoral degree
C0468,Public,Master's degree
C0469,Public,Doctoral degree
C0470,Public,Master's degree
C0471,Public,Doctoral degree
C0472,Public,Master's degree
C0473,Private,Master's degree
C0474,Public,Doctoral degree
C0475,Public,Doctoral degree
C0476,Public,Master's degree
C0477,Public,Doctoral degree
C0478,Private,Doctoral degree
C0479,Private,Doctoral degree
C0480,Private,Master's degree
C0481,Private,Bachelor's degree
C0482,Private,Bachelor's degree
C0483,Private,Bachelor's degree
C0484,Private,Doctoral degree
C0485,Public,Bachelor's degree
C0486,Public,Master's degree
C0487,Public,Bachelor's degree
C0488,Public,Bachelor's degree
C0489,Public,Doctoral degree
C0490,Public,Master's degree
C0491,Public,Bachelor's degree
C0492,Private,Doctoral degree
C0493,Private,Master's degree
C0494,Public,Doctoral degree
C0495,Private,Master's degree
C0496,Private,Bachelor's degree
C0497,Public,Doctoral degree
C0498,Public,Doctoral degree
C0499,Private,Master's degree
C0500,Public,Doctoral degree
C0501,Public,Doctoral degree
C0502,Private,Master's degree
C0503,Private,Master's degree
C0504,Private,Doctoral degree
C0505,Private,Doctoral degree
C0506,Public,Doctoral degree
C0507,Public,Doctoral degree
C0508,Public,Doctoral degree
C0509,Public,Doctoral degree
C0510,Public,Doctoral degree
C0511,Private,Master's degree
C0512,Private,Doctoral degree
C0513,Public,Doctoral degree
C0514,Public,Master's degree
C0515,Private,Master's degree
C0516,Private,Master's degree
C0517,Public,Doctoral degree
C0518,Private,Master's degree
C0519,Private,Master's degree
C0520,Private,Master's degree
C0521,Private,Master's degree
C0522,Private,Doctoral degree
C0523,Private,Bachelor's degree
C0524,Private,Master's degree
C0525,Private,Master's degree
C0526,Private,Master's degree
C0527,Private,Bachelor's degree
C0528,Private,Doctoral degree
C0529,Private,Doctoral degree
C0530,Private,Doctoral degree
C0531,Private,Doctoral degree
C0532,Public,Master's degree
C0533,Private,Doctoral degree
C0534,Private,Doctoral degree
C0535,Private,Master's degree
C0536,Private,Master's degree
C0537,Private,Master's degree
C0538,Private,Master's degree
C0539,Private,Doctoral degree
C0540,Private,Bachelor's degree
C0541,Public,Master's degree
