ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0088,Public,Doctoral degree,,44,22225,13595,68,Far West,24,29,70
C0089,Public,Doctoral degree,,60,17203,13416,50,Far West,20,26,80
C0090,Public,Bachelor's degree,,75,1045,6536,43,Far West,21,26,68
C0091,Private,Doctoral degree,,45,7892,40234,59,Far West,24,29,87
C0092,Private,Master's degree,,91,4046,27300,54,Far West,20,25,100
C0093,Private,Bachelor's degree,,49,914,23814,31,Far West,19,22,100
C0094,Private,Doctoral degree,,,2204,,,Far West,,,
C0095,Private,Master's degree,,12,1328,42240,84,Far West,29,33,53
C0096,Private,Master's degree,,100,833,19600,100,Far West,,,90
C0097,Private,Master's degree,,78,2147,37350,36,Far West,20,25,98
C0098,Private,Doctoral degree,,,1190,,,Far West,,,
C0099,Private,Master's degree,,78,3393,24790,43,Far West,18,22,99
C0100,Private,Doctoral degree,,,3227,,,Far West,,,
C0101,Private,Bachelor's degree,,18,807,42410,86,Far West,32,35,75
C0102,Private,Master's degree,,57,1343,30390,25,Far West,17,21,100
C0103,Public,Master's degree,,80,8293,7062,11,Far West,18,24,74
C0104,Private,Doctoral degree,,,990,10620,52,Far West,,,73
C0105,Private,Doctoral degree,,,1356,,,Far West,,,
C0106,Private,Master's degree,,59,229,25788,69,Far West,,,92
C0107,Private,Doctoral degree,,39,8796,31300,39,Far West,20,25,97
C0108,Private,Doctoral degree,,,492,9220,0,Far West,,,22
C0109,Private,Doctoral degree,,47,2440,27231,30,Far West,17,22,100
C0110,Private,Doctoral degree,,61,1499,26650,48,Far West,22,27,99
C0111,Private,Doctoral degree,,54,9661,37825,67,Far West,25,29,90
C0112,Private,Bachelor's degree,,37,745,35076,28,Far West,19,25,98
C0113,Private,Doctoral degree,,68,1595,39264,53,Far West,23,28,100
C0114,Private,Master's degree,,,731,,,Far West,,,
C0115,Private,Doctoral degree,,74,3274,31339,52,Far West,16,22,100
C0116,Private,Doctoral degree,,,18207,11376,15,Far West,,,41
C0117,Private,Master's degree,,87,2030,29890,36,Far West,18,22,100
C0118,Private,Master's degree,,42,2128,42871,83,Far West,27,31,69
C0119,Private,Master's degree,,47,1356,24064,27,Far West,17,22,98
C0120,Private,Master's degree,,51,1647,25965,24,Far West,18,25,100
C0121,Private,Doctoral degree,,73,6421,36290,40,Far West,22,29,91
C0122,Private,Doctoral degree,,37,7315,40752,70,Far West,,,72
C0123,Private,Bachelor's degree,,15,1081,42550,73,Far West,,,41
C0124,Private,Master's degree,,67,3359,28310,62,Far West,23,28,93
C0125,Private,Bachelor's degree,,14,1610,39883,93,Far West,31,34,68
C0126,Private,Doctoral degree,,67,5147,37302,63,Far West,23,27,94
C0127,Public,Doctoral degree,,31,31899,6578,33,Far West,21,26,62
C0128,Private,Doctoral degree,,49,8321,38582,65,Far West,25,30,76
C0129,Public,Doctoral degree,,64,29905,6276,13,Far West,19,24,70
C0130,Private,Doctoral degree,,61,10112,37424,57,Far West,23,27,71
C0131,Public,Master's degree,,63,31278,6828,8,Far West,19,25,60
C0132,Private,Doctoral degree,,51,8770,39048,77,Far West,27,31,84
C0133,Private,Bachelor's degree,,36,1009,41950,80,Far West,29,32,61
C0134,Private,Master's degree,,55,1255,21600,38,Far West,21,23,100
C0135,Private,Doctoral degree,,69,4257,37150,50,Far West,22,27,91
C0136,Public,Master's degree,,82,9120,6862,26,Far West,19,24,62
C0137,Private,Master's degree,,70,2415,27400,47,Far West,18,28,99
C0138,Private,Doctoral degree,,20,41368,42818,78,Far West,29,33,67
C0139,Private,Bachelor's degree,,79,366,22850,73,Far West,23,31,82
C0140,Private,Bachelor's degree,,70,1321,35650,72,Far West,24,29,99
C0141,Private,Doctoral degree,,63,2339,36992,63,Far West,20,25,94
C0142,Private,Master's degree,,56,1607,29994,19,Far West,19,25,79
C0143,Public,Master's degree,,53,3211,5627,12,Rocky Mountains,17,22,92
C0144,Public,Doctoral degree,,76,22206,7394,16,Rocky Mountains,20,26,71
C0145,Public,Doctoral degree,,91,11321,6512,26,Rocky Mountains,21,25,76
C0146,Public,Doctoral degree,,88,32017,9152,44,Rocky Mountains,24,29,59
C0147,Private,Master's degree,,98,5368,22960,24,Rocky Mountains,,,98
C0148,Private,Master's degree,,22,2061,40050,79,Rocky Mountains,27,32,53
C0149,Public,Doctoral degree,,37,5790,14453,41,Rocky Mountains,27,31,87
C0150,Public,Doctoral degree,,77,31186,7952,37,Rocky Mountains,22,27,73
C0151,Private,Bachelor's degree,,,497,15790,32,Rocky Mountains,,,95
C0152,Private,Doctoral degree,,77,11778,37833,67,Rocky Mountains,25,30,85
C0153,Public,Master's degree,,88,4021,5592,17,Rocky Mountains,20,25,91
C0154,Public,Doctoral degree,,82,9676,6548,13,Rocky Mountains,18,23,90
C0155,Public,Master's degree,,71,22752,4834,6,Rocky Mountains,18,23,68
C0156,Private,Master's degree,,80,992,26360,20,Rocky Mountains,,,63
C0157,Public,Doctoral degree,,70,12710,6623,27,Rocky Mountains,20,24,90
C0158,Private,Doctoral degree,,70,9722,31188,42,Rocky Mountains,21,26,98
C0159,Public,Master's degree,,94,7089,6270,18,Rocky Mountains,18,23,94
C0160,Public,Master's degree,,93,2404,5473,23,Rocky Mountains,19,24,91
C0161,Private,Master's degree,,68,1582,26294,0,New England,,,83
C0162,Private,Doctoral degree,,64,4842,27330,19,New England,18,22,93
C0163,Public,Doctoral degree,,64,11865,8055,20,New England,19,25,84
C0164,Public,Bachelor's degree,,,1580,,,New England,,,
C0165,Private,Master's degree,,36,1922,43990,79,New England,,,53
C0166,Public,Doctoral degree,,54,25911,10670,68,New England,25,30,77
C0167,Public,Master's degree,,65,5368,8555,32,New England,20,24,82
C0168,Private,Doctoral degree,,71,4919,40580,79,New England,,,89
C0169,Private,Master's degree,,,281,,,New England,,,
C0170,Private,Doctoral degree,,62,6820,30754,51,New England,20,26,98
C0171,Private,Bachelor's degree,,58,866,27714,31,New England,,,100
C0172,Private,Doctoral degree,,74,6555,31750,44,New England,20,25,95
C0173,Private,Doctoral degree,,67,8803,36130,72,New England,22,27,89
C0174,Private,Doctoral degree,,76,6983,32724,63,New England,,,95
C0175,Private,Doctoral degree,,86,2640,30310,37,New England,18,22,100
C0176,Public,Doctoral degree,,75,10804,8248,18,New England,17,22,81
C0177,Private,Master's degree,,32,2390,44070,81,New England,25,29,41
C0178,Private,Doctoral degree,,21,3205,43974,86,New England,29,33,51
C0179,Public,Doctoral degree,,65,6025,8104,21,New England,,,81
C0180,Private,Doctoral degree,,7,12109,40500,90,New England,32,35,61
C0181,Public,Doctoral degree,,42,4336,7056,18,Mid East,16,19,97
C0182,Public,Doctoral degree,,65,22166,11192,68,Mid East,24,29,82
C0183,Private,Master's degree,,62,1655,21565,11,Mid East,16,23,97
C0184,Private,Doctoral degree,,,13621,9470,31,Mid East,,,87
C0185,Private,Doctoral degree,,43,12818,38071,76,Mid East,26,30,80
C0186,Private,Doctoral degree,,60,6725,35460,62,Mid East,22,27,95
C0187,Public,Master's degree,,,5011,5010,6,Mid East,,,86
C0188,Private,Doctoral degree,,66,1561,11986,16,Mid East,15,20,88
C0189,Private,Doctoral degree,,33,25264,44148,76,Mid East,27,31,68
C0190,Private,Doctoral degree,,17,17849,41393,88,Mid East,29,33,53
C0191,Private,Doctoral degree,,49,10297,20171,40,Mid East,21,26,93
C0192,Private,Master's degree,,52,2506,20975,15,Mid East,,,99
C0193,Private,Doctoral degree,,47,9030,28160,22,Southeast,17,21,97
C0194,Private,Master's degree,,67,3787,13990,23,Southeast,15,18,99
C0195,Private,Doctoral degree,,78,2297,31700,33,Southeast,18,22,79
C0196,Private,Doctoral degree,,36,991,12048,13,Southeast,,,100
C0197,Public,Doctoral degree,,49,59589,5584,36,Southeast,23,28,96
C0198,Private,Master's degree,,70,505,16315,44,Southeast,19,25,100
C0199,Private,Bachelor's degree,,71,2173,34546,59,Southeast,23,28,97
C0200,Private,Bachelor's degree,,27,862,10994,1,Southeast,15,18,97
C0201,Private,Doctoral degree,,74,5279,29852,34,Southeast,21,27,92
C0202,Public,Doctoral degree,,45,10743,5187,12,Southeast,18,22,95
C0203,Public,Doctoral degree,,48,30759,4264,15,Southeast,20,24,87
C0204,Private,Bachelor's degree,,50,2839,14510,46,Southeast,21,25,85
C0205,Private,Bachelor's degree,,59,558,13180,9,Southeast,20,26,94
C0206,Private,Doctoral degree,,60,5644,34990,39,Southeast,23,28,95
C0207,Public,Doctoral degree,,43,47663,5678,20,Southeast,24,27,91
C0208,Private,Master's degree,,42,1560,14604,23,Southeast,,,90
C0209,Private,Master's degree,,50,2619,26112,47,Southeast,22,27,99
C0210,Public,Doctoral degree,,57,40909,5826,57,Southeast,25,29,95
C0211,Public,Doctoral degree,,47,49878,5657,65,Southeast,26,31,96
C0212,Private,Doctoral degree,,47,4157,27900,24,Southeast,19,24,99
C0213,Private,Bachelor's degree,,,449,7410,14,Southeast,,,50
C0214,Private,Doctoral degree,,93,17129,15064,59,Southeast,,,92
C0215,Private,Master's degree,,,347,,,Southeast,,,
C0216,Private,Doctoral degree,,40,16935,39654,71,Southeast,28,32,75
C0217,Private,Bachelor's degree,,81,189,15478,44,Southeast,,,95
C0218,Public,Doctoral degree,,53,16083,5627,21,Southeast,23,26,94
C0219,Private,Doctoral degree,,57,25670,23214,25,Southeast,21,27,98
C0220,Private,Doctoral degree,,84,3764,24100,40,Southeast,20,26,100
C0221,Private,Doctoral degree,,59,3153,38400,61,Southeast,24,29,86
C0222,Private,Doctoral degree,,77,16275,18870,31,Southeast,,,94
C0223,Public,Bachelor's degree,,,31820,2988,,Southeast,,,81
C0224,Public,Doctoral degree,,45,41428,5800,36,Southeast,23,28,98
C0225,Private,Doctoral degree,,46,2315,23910,28,Southeast,16,21,100
C0226,Private,Doctoral degree,,59,4044,35078,56,Southeast,23,28,100
C0227,Private,Master's degree,,59,3434,17718,24,Southeast,17,23,97
C0228,Private,Master's degree,,52,7260,23976,51,Southeast,21,26,95
C0229,Private,Master's degree,,34,1162,16660,26,Southeast,17,21,99
C0230,Private,Master's degree,,64,715,19670,2,Southeast,17,24,100
C0231,Public,Doctoral degree,,48,12588,4701,20,Southeast,21,26,91
C0232,Private,Bachelor's degree,,67,915,32195,66,Southeast,,,100
C0233,Public,Master's degree,,20,4260,5802,16,Southeast,17,20,99
C0234,Public,Doctoral degree,,70,7101,4854,10,Southeast,19,23,91
C0235,Private,Bachelor's degree,,54,1439,16226,33,Southeast,18,22,95
C0236,Private,Doctoral degree,,57,3458,18912,21,Southeast,17,21,98
