ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0373,Private,Master's degree,,64,1163,26330,36,Great Lakes,19,24,100
C0374,Private,Master's degree,,98,887,27622,49,Great Lakes,15,22,100
C0375,Private,Bachelor's degree,,86,1479,32000,67,Great Lakes,23,28,98
C0376,Private,Master's degree,,88,2245,27438,65,Great Lakes,24,31,99
C0377,Private,Master's degree,,72,1875,26730,33,Great Lakes,21,27,100
C0378,Private,Doctoral degree,,80,4508,31040,58,Great Lakes,23,29,92
C0379,Private,Bachelor's degree,,,902,32450,63,Great Lakes,,,95
C0380,Private,Doctoral degree,,,1174,24694,40,Plains,,,97
C0381,Private,Master's degree,,70,2399,27226,43,Plains,20,25,98
C0382,Private,Bachelor's degree,,66,1386,27844,62,Plains,21,26,100
C0383,Private,Doctoral degree,,78,1225,25760,59,Plains,20,25,99
C0384,Private,Master's degree,,62,1419,32380,61,Plains,23,28,100
C0385,Private,Bachelor's degree,,64,1125,32920,64,Plains,23,29,96
C0386,Private,Master's degree,,75,1430,24300,54,Plains,21,28,100
C0387,Private,Doctoral degree,,66,5139,28382,61,Plains,25,30,99
C0388,Private,Doctoral degree,,77,2023,22620,29,Plains,17,22,94
C0389,Private,Doctoral degree,,50,2286,21790,30,Plains,18,24,100
C0390,Private,Master's degree,,95,2129,21018,28,Plains,19,23,100
C0391,Private,Bachelor's degree,,35,1721,39810,81,Plains,28,32,90
C0392,Public,Doctoral degree,,83,32955,7486,38,Plains,22,28,88
C0393,Private,Bachelor's degree,,60,599,23160,17,Plains,19,24,100
C0394,Public,Doctoral degree,,80,29748,7765,48,Plains,25,28,83
C0395,Private,Master's degree,,69,1621,27258,48,Plains,21,26,100
C0396,Private,Bachelor's degree,,72,2466,34885,67,Plains,23,29,100
C0397,Private,Doctoral degree,,42,1136,24430,24,Plains,,,97
C0398,Private,Master's degree,,53,2542,24050,48,Plains,20,25,100
C0399,Private,Master's degree,,68,1761,24360,66,Plains,20,23,85
C0400,Public,Doctoral degree,,83,12159,7350,37,Plains,20,24,87
C0401,Private,Bachelor's degree,,76,1233,24630,53,Plains,21,27,100
C0402,Private,Doctoral degree,,96,3607,24920,47,Plains,20,25,100
C0403,Private,Master's degree,,88,1773,28123,55,Plains,21,27,100
C0404,Private,Master's degree,,58,5304,23356,24,Plains,19,24,85
C0405,Private,Bachelor's degree,,78,1714,30960,59,Plains,21,26,99
C0406,Private,Master's degree,,58,1875,21720,17,Plains,17,22,100
C0407,Private,Doctoral degree,,87,3076,23390,36,Plains,21,26,100
C0408,Private,Master's degree,,61,2177,21475,43,Plains,22,28,100
C0409,Private,Bachelor's degree,,59,665,21677,27,Plains,18,23,98
C0410,Private,Bachelor's degree,,64,482,21700,39,Plains,19,26,100
C0411,Private,Bachelor's degree,,50,1037,18400,27,Plains,18,24,93
C0412,Private,Bachelor's degree,,,474,6032,,Plains,,,92
C0413,Public,Doctoral degree,,61,6033,4952,20,Plains,19,25,96
C0414,Public,Master's degree,,89,13441,4082,19,Plains,18,24,97
C0415,Private,Master's degree,,59,2178,21030,13,Plains,18,24,100
C0416,Public,Doctoral degree,,92,26968,9222,36,Plains,22,28,79
C0417,Private,Master's degree,,45,3736,21716,33,Plains,20,27,99
C0418,Public,Doctoral degree,,96,24581,7657,26,Plains,,,83
C0419,Private,Master's degree,,54,729,21400,31,Plains,20,24,99
C0420,Private,Master's degree,,87,656,20600,43,Plains,19,24,95
C0421,Private,Master's degree,,72,1907,21500,41,Plains,19,21,99
C0422,Private,Master's degree,,99,558,21680,22,Plains,19,25,100
C0423,Private,Master's degree,,,356,,,Plains,,,
C0424,Public,Master's degree,,79,7400,5162,24,Plains,19,24,91
C0425,Private,Doctoral degree,,47,1325,20770,44,Plains,19,24,100
C0426,Private,Doctoral degree,,90,1661,21680,42,Plains,20,25,100
C0427,Private,Bachelor's degree,,44,690,20150,30,Plains,19,25,100
C0428,Private,Master's degree,,74,736,21740,45,Plains,18,27,100
C0429,Public,Doctoral degree,,,6973,5270,17,Plains,,,92
C0430,Public,Doctoral degree,,96,14386,6155,22,Plains,21,26,89
C0431,Private,Bachelor's degree,,45,631,9600,21,Southeast,18,24,100
C0432,Private,Master's degree,,66,1797,24229,56,Southeast,21,27,99
C0433,Private,Doctoral degree,,95,3419,32140,53,Southeast,22,27,100
C0434,Private,Bachelor's degree,,34,1623,910,47,Southeast,22,26,100
C0435,Private,Master's degree,,45,949,18340,16,Southeast,19,24,100
C0436,Private,Master's degree,,68,3520,20740,28,Southeast,18,24,95
C0437,Private,Bachelor's degree,,69,1381,34000,80,Southeast,26,31,97
C0438,Private,Doctoral degree,,71,4924,18000,24,Southeast,19,25,100
C0439,Public,Doctoral degree,,60,16111,6960,18,Southeast,19,24,97
C0440,Private,Master's degree,,82,1399,29300,49,Southeast,21,26,98
C0441,Public,Master's degree,,38,2533,5808,7,Southeast,16,20,89
C0442,Private,Bachelor's degree,,67,657,19515,25,Southeast,19,25,100
C0443,Public,Doctoral degree,,69,28435,9128,34,Southeast,22,28,93
C0444,Private,Master's degree,,51,594,15150,18,Southeast,18,24,100
C0445,Private,Master's degree,,,2644,20030,15,Southeast,,,100
C0446,Public,Doctoral degree,,71,21444,8930,25,Southeast,22,28,97
C0447,Private,Master's degree,,70,2251,13350,5,Southeast,15,24,95
C0448,Private,Master's degree,,54,1351,19950,34,Southeast,19,25,100
C0449,Public,Doctoral degree,,84,11358,6942,22,Southeast,19,25,99
C0450,Public,Doctoral degree,,82,10943,6576,29,Southeast,19,25,99
C0451,Public,Doctoral degree,,47,15263,7584,14,Southeast,19,25,95
C0452,Private,Doctoral degree,,100,2205,16250,16,Southeast,16,22,100
C0453,Private,Master's degree,,,767,17080,18,Southeast,,,99
C0454,Private,Doctoral degree,,81,2367,19350,18,Southeast,18,22,99
C0455,Private,Master's degree,,88,1600,25845,42,Southeast,20,25,100
C0456,Private,Bachelor's degree,,96,1082,28250,67,Southeast,24,30,100
C0457,Private,Master's degree,,74,1164,20079,16,Southeast,19,24,100
C0458,Public,Doctoral degree,,92,20448,8084,25,Southeast,18,25,93
C0459,Private,Master's degree,,66,661,25290,49,Southeast,22,28,100
C0460,Private,Bachelor's degree,,35,1183,14770,5,Southeast,17,20,99
C0461,Public,Doctoral degree,,44,5071,4886,7,Southeast,16,20,96
C0462,Public,Bachelor's degree,,61,2229,4402,7,Southeast,18,22,92
C0463,Public,Doctoral degree,,76,30478,6354,38,Southeast,23,28,93
C0464,Public,Master's degree,,83,4114,4494,15,Southeast,20,24,94
C0465,Private,Master's degree,,74,1400,13380,29,Southeast,18,23,96
C0466,Public,Doctoral degree,,67,11015,5896,29,Southeast,21,26,94
C0467,Private,Doctoral degree,,87,4686,33552,44,Southeast,22,28,98
C0468,Public,Master's degree,,62,8341,4383,13,Southeast,20,24,95
C0469,Public,Doctoral degree,,50,9323,5214,13,Southeast,21,25,90
C0470,Public,Master's degree,,87,6532,4737,19,Southeast,20,24,95
C0471,Public,Doctoral degree,,77,8645,5101,19,Southeast,20,25,96
C0472,Public,Master's degree,,84,8944,5049,19,Southeast,19,24,95
C0473,Private,Master's degree,,48,1112,14699,5,Southeast,,,81
C0474,Public,Doctoral degree,,45,14934,4604,13,Southeast,20,24,93
C0475,Public,Doctoral degree,,36,6777,5074,8,Southeast,17,20,98
C0476,Public,Master's degree,,49,2292,3906,4,Southeast,15,18,58
C0477,Public,Doctoral degree,,59,16646,4864,13,Southeast,21,25,94
C0478,Private,Doctoral degree,,26,12938,43434,62,Southeast,29,32,79
C0479,Private,Doctoral degree,,54,3121,17900,27,Southeast,20,26,99
C0480,Private,Master's degree,,74,370,36063,56,New England,,,100
C0481,Private,Bachelor's degree,,24,1791,42800,88,New England,,,43
C0482,Private,Bachelor's degree,,15,1795,42816,88,New England,30,33,50
C0483,Private,Bachelor's degree,,26,1820,42820,89,New England,28,32,47
C0484,Private,Doctoral degree,,80,3049,14435,25,New England,17,21,79
C0485,Public,Bachelor's degree,,,4770,7448,3,New England,,,89
C0486,Public,Master's degree,,84,2061,9367,38,New England,,,96
C0487,Public,Bachelor's degree,,63,1209,7575,36,New England,18,27,97
C0488,Public,Bachelor's degree,,85,892,7480,14,New England,18,25,98
C0489,Public,Doctoral degree,,81,11247,10588,36,New England,21,26,93
C0490,Public,Master's degree,,65,1018,11305,53,New England,20,24,72
C0491,Public,Bachelor's degree,,,1263,7300,15,New England,,,99
C0492,Private,Doctoral degree,,86,6032,30500,49,New England,21,26,100
C0493,Private,Master's degree,,78,1614,28700,49,New England,,,98
C0494,Public,Doctoral degree,,83,8923,8900,10,New England,20,25,93
C0495,Private,Master's degree,,72,1522,22770,35,New England,16,21,98
C0496,Private,Bachelor's degree,,89,553,23540,45,New England,,,99
C0497,Public,Doctoral degree,,73,6518,7500,23,Mid East,,,95
C0498,Public,Doctoral degree,,52,5561,6347,13,Mid East,17,20,90
C0499,Private,Master's degree,,33,1185,20180,17,Mid East,,,98
C0500,Public,Doctoral degree,,36,3383,5732,4,Mid East,,,95
C0501,Public,Doctoral degree,,59,5473,7128,22,Mid East,18,22,83
C0502,Private,Master's degree,,72,2111,36554,59,Mid East,,,91
C0503,Private,Master's degree,,81,2392,31060,55,Mid East,18,25,98
C0504,Private,Doctoral degree,,18,20918,42280,87,Mid East,30,34,61
C0505,Private,Doctoral degree,,58,5977,40870,79,Mid East,25,29,81
C0506,Public,Doctoral degree,,,39557,6168,1,Mid East,,,77
C0507,Public,Doctoral degree,,63,13908,9467,37,Mid East,24,29,77
C0508,Public,Doctoral degree,,47,37272,8655,66,Mid East,,,73
C0509,Public,Doctoral degree,,55,4220,6482,13,Mid East,16,19,93
C0510,Public,Doctoral degree,,58,7546,6928,11,Mid East,16,19,95
C0511,Private,Master's degree,,67,2240,31536,61,Mid East,17,23,100
C0512,Private,Doctoral degree,,50,2877,29700,45,Mid East,20,23,99
C0513,Public,Doctoral degree,,55,8643,7332,47,Mid East,22,26,88
C0514,Public,Master's degree,,72,1858,14445,71,Mid East,25,30,72
C0515,Private,Master's degree,,,1080,7920,10,Mid East,,,93
C0516,Private,Master's degree,,81,490,43656,56,Mid East,,,75
C0517,Public,Doctoral degree,,60,22499,7906,40,Mid East,21,25,75
C0518,Private,Master's degree,,,591,,,Mid East,,,
C0519,Private,Master's degree,,60,4404,23636,42,Mid East,18,23,99
C0520,Private,Master's degree,,67,1512,38542,65,Mid East,24,29,93
C0521,Private,Master's degree,,76,3229,34780,64,Mid East,21,27,99
C0522,Private,Doctoral degree,,68,3657,27902,28,New England,16,21,100
C0523,Private,Bachelor's degree,,14,1785,42898,89,New England,30,34,65
C0524,Private,Master's degree,,78,1540,29860,43,New England,,,100
C0525,Private,Master's degree,,74,2756,32545,70,New England,,,99
C0526,Private,Master's degree,,58,2357,27045,46,New England,18,22,100
C0527,Private,Bachelor's degree,,63,1902,28490,16,New England,19,24,100
C0528,Private,Doctoral degree,,44,5658,38328,81,New England,26,30,77
C0529,Private,Doctoral degree,,32,14309,42204,89,New England,30,33,59
C0530,Private,Doctoral degree,,46,32411,41420,80,New England,26,30,62
C0531,Private,Doctoral degree,,37,5825,41860,86,New England,28,32,65
C0532,Public,Master's degree,,79,11267,7552,29,New England,19,24,79
C0533,Private,Doctoral degree,,,3114,13240,2,New England,,,33
C0534,Private,Doctoral degree,,62,3551,37350,76,New England,,,89
C0535,Private,Master's degree,,67,3074,32210,35,New England,16,20,95
C0536,Private,Master's degree,,56,1478,25300,41,New England,17,24,100
C0537,Private,Master's degree,,48,4561,32728,80,New England,26,30,72
C0538,Private,Master's degree,,60,2436,32300,51,New England,21,26,99
C0539,Private,Doctoral degree,,72,5029,27130,65,New England,21,25,94
C0540,Private,Bachelor's degree,,63,1930,25778,4,New England,,,86
C0541,Public,Master's degree,,72,6680,8300,20,New England,18,22,90
C0542,Public,Master's degree,,52,6429,7580,33,New England,19,25,93
C0543,Private,Master's degree,,41,2073,30626,58,New England,22,29,99
C0544,Private,Bachelor's degree,,64,1492,42900,56,New England,,,88
C0545,Private,Doctoral degree,,6,28297,39851,87,New England,32,35,75
C0546,Private,Bachelor's degree,,33,2912,41488,89,New England,,,72
C0547,Private,Master's degree,,76,2081,27500,47,New England,18,23,98
C0548,Private,Doctoral degree,,67,5195,30545,35,New England,21,26,97
C0549,Public,Doctoral degree,,64,16932,11297,28,New England,22,28,90
C0550,Public,Doctoral degree,,63,28518,12797,59,New England,24,29,88
C0551,Public,Doctoral degree,,71,16277,11407,15,New England,,,80
C0552,Private,Doctoral degree,,8,11301,40732,84,New England,33,35,87
C0553,Public,Master's degree,,77,1476,6867,49,New England,20,24,89
C0554,Private,Master's degree,,79,3067,32865,54,New England,,,96
C0555,Private,Master's degree,,47,2251,41456,76,New England,,,79
C0556,Private,Master's degree,,61,1288,25915,29,New England,15,20,98
C0557,Private,Bachelor's degree,,60,962,26600,24,New England,,,98
C0558,Private,Master's degree,,80,1459,30400,42,New England,19,23,91
C0559,Public,Master's degree,,67,1716,8075,38,New England,20,25,97
C0560,Private,Doctoral degree,,32,20053,38602,0,New England,30,33,77
C0561,Private,Master's degree,,75,1678,28208,57,New England,16,22,100
C0562,Private,Master's degree,,64,346,22042,28,New England,,,77
C0563,Public,Master's degree,,69,9301,7670,22,New England,19,24,88
C0564,Private,Doctoral degree,,49,4655,33356,66,New England,23,28,97
C0565,Private,Bachelor's degree,,92,350,43840,,New England,,,84
C0566,Private,Doctoral degree,,43,3033,40070,82,New England,,,73
C0567,Private,Doctoral degree,,70,3255,30660,58,New England,20,25,99
C0568,Public,Doctoral degree,,72,9053,11135,30,New England,21,25,90
C0569,Private,Bachelor's degree,,71,2481,33920,82,New England,22,28,92
C0570,Private,Doctoral degree,,83,8675,29894,41,New England,20,25,80
C0571,Private,Doctoral degree,,19,10872,42962,87,New England,30,33,44
C0572,Private,Bachelor's degree,,29,2474,40660,84,New England,29,33,68
C0573,Private,Master's degree,,58,4179,25025,50,New England,21,27,99
C0574,Private,Doctoral degree,,82,3800,30844,52,New England,22,26,97
C0575,Public,Master's degree,,75,6371,7886,44,New England,17,22,88
C0576,Private,Bachelor's degree,,67,1654,41894,71,New England,,,93
C0577,Private,Master's degree,,73,1378,30055,46,New England,19,25,100
C0578,Private,Master's degree,,17,2150,43190,90,New England,30,34,65
C0579,Private,Doctoral degree,,52,6296,40030,70,New England,,,98
C0580,Public,Master's degree,,61,6447,7653,34,New England,20,24,88
C0581,Private,Master's degree,,56,1658,27440,39,Great Lakes,19,24,98
C0582,Private,Bachelor's degree,,56,1307,32662,64,Great Lakes,22,28,99
C0583,Private,Bachelor's degree,,68,1419,29230,43,Great Lakes,22,27,100
C0584,Private,Doctoral degree,,38,3516,23428,29,Great Lakes,20,26,100
C0585,Private,Master's degree,,71,2001,24286,30,Great Lakes,21,26,99
C0586,Private,Bachelor's degree,,,2828,7560,2,Great Lakes,,,96
C0587,Private,Bachelor's degree,,,4977,7560,0,Great Lakes,,,96
C0588,Private,Master's degree,,70,4034,25565,57,Great Lakes,23,29,100
C0589,Public,Doctoral degree,,63,26841,10024,21,Great Lakes,20,24,92
C0590,Private,Master's degree,,54,740,21600,14,Great Lakes,19,24,100
C0591,Private,Master's degree,,92,9591,12536,8,Great Lakes,,,95
C0592,Private,Doctoral degree,,61,5112,32500,35,Great Lakes,22,28,99
C0593,Public,Doctoral degree,,64,23447,8684,12,Great Lakes,19,24,97
C0594,Public,Doctoral degree,,76,14707,9934,23,Great Lakes,19,24,96
C0595,Private,Master's degree,,62,1985,29988,11,Great Lakes,24,29,100
C0596,Private,Bachelor's degree,,75,579,11860,17,Great Lakes,,,100
C0597,Private,Master's degree,,68,2809,22388,30,Great Lakes,21,26,98
C0598,Public,Doctoral degree,,83,24477,9716,33,Great Lakes,21,26,88
C0599,Private,Bachelor's degree,,73,3388,27020,68,Great Lakes,24,29,94
C0600,Private,Bachelor's degree,,67,1458,35920,72,Great Lakes,25,30,100
C0601,Public,Master's degree,,92,2435,9364,17,Great Lakes,20,25,97
C0602,Private,Doctoral degree,,44,4002,26278,16,Great Lakes,22,28,86
C0603,Private,Doctoral degree,,61,4399,14700,31,Great Lakes,19,25,92
C0604,Private,Master's degree,,94,1960,18020,8,Great Lakes,14,18,99
C0605,Private,Master's degree,,66,1129,19122,19,Great Lakes,18,24,100
C0606,Public,Doctoral degree,,33,43710,12634,76,Great Lakes,28,32,63
C0607,Public,Doctoral degree,,69,49317,12202,50,Great Lakes,23,28,63
C0608,Public,Doctoral degree,,77,6975,12853,24,Great Lakes,24,29,97
C0609,Public,Doctoral degree,,63,8748,9788,15,Great Lakes,22,27,89
C0610,Public,Doctoral degree,,78,8555,8712,9,Great Lakes,18,24,84
C0611,Private,Bachelor's degree,,,4021,7560,0,Great Lakes,,,95
C0612,Public,Master's degree,,73,8918,8414,21,Great Lakes,19,25,90
C0613,Public,Doctoral degree,,66,20169,9938,15,Great Lakes,20,26,92
C0614,Private,Master's degree,,51,1133,21118,26,Great Lakes,17,22,99
C0615,Private,Bachelor's degree,,68,291,17526,37,Great Lakes,18,25,99
C0616,Public,Doctoral degree,,79,10240,7815,10,Great Lakes,18,24,94
C0617,Private,Master's degree,,68,2684,20554,21,Great Lakes,19,23,100
C0618,Private,Master's degree,,65,3962,21520,30,Great Lakes,20,26,100
C0619,Private,Bachelor's degree,,59,525,19898,31,Great Lakes,17,22,97
C0620,Public,Doctoral degree,,76,27897,9809,11,Great Lakes,19,26,89
C0621,Public,Doctoral degree,,83,24294,9606,24,Great Lakes,19,25,84
C0622,Private,Doctoral degree,,61,3554,30418,47,Plains,20,25,99
C0623,Public,Master's degree,,67,4963,7858,26,Plains,19,23,90
C0624,Private,Bachelor's degree,,75,579,22410,38,Plains,20,26,100
C0625,Private,Doctoral degree,,95,4340,29460,63,Plains,22,28,100
C0626,Private,Bachelor's degree,,21,2045,42942,90,Plains,29,33,77
C0627,Private,Master's degree,,80,2558,29360,62,Plains,22,28,100
C0628,Private,Master's degree,,52,3661,28500,30,Plains,18,24,99
C0629,Private,Master's degree,,96,824,11320,52,Plains,22,27,97
C0630,Private,Bachelor's degree,,63,2449,35520,81,Plains,24,30,99
C0631,Private,Doctoral degree,,66,4581,31994,60,Plains,21,27,100
C0632,Private,Bachelor's degree,,34,2039,42021,85,Plains,29,32,81
C0633,Public,Doctoral degree,,66,15426,7148,21,Plains,20,24,85
C0634,Public,Doctoral degree,,100,8510,6341,10,Plains,,,84
C0635,Public,Doctoral degree,,44,51526,13022,54,Plains,26,30,77
C0636,Public,Bachelor's degree,,69,2839,11097,34,Plains,19,24,92
C0637,Public,Doctoral degree,,78,11241,12486,30,Plains,22,26,83
C0638,Public,Bachelor's degree,,58,1946,12091,50,Plains,23,28,93
C0639,Public,Doctoral degree,,89,6634,7378,22,Plains,20,25,86
C0640,Private,Bachelor's degree,,95,1305,17400,17,Plains,19,26,100
C0641,Private,Master's degree,,69,3352,25700,51,Plains,22,27,99
C0642,Private,Bachelor's degree,,76,2051,34308,75,Plains,23,28,100
C0643,Public,Doctoral degree,,87,16765,7105,19,Plains,19,24,86
C0644,Private,Master's degree,,75,1979,33606,71,Plains,23,28,100
C0645,Private,Doctoral degree,,75,5528,27250,43,Plains,20,26,99
C0646,Private,Bachelor's degree,,59,3125,38150,83,Plains,26,31,93
C0647,Private,Master's degree,,55,1323,21470,36,Plains,18,24,96
C0648,Private,Doctoral degree,,73,4206,29506,59,Plains,21,26,100
C0649,Private,Doctoral degree,,86,10192,32073,63,Plains,23,28,97
C0650,Private,Doctoral degree,,61,5017,31640,38,Plains,20,25,100
C0651,Public,Master's degree,,65,6917,7743,22,Plains,19,24,95
C0652,Public,Doctoral degree,,61,8782,8540,30,Plains,21,25,88
C0653,Public,Master's degree,,83,3848,5247,18,Southeast,16,19,77
C0654,Private,Master's degree,,48,4025,18420,25,Southeast,19,25,100
C0655,Private,Master's degree,,56,532,9130,37,Southeast,18,25,97
C0656,Public,Doctoral degree,,89,4785,5288,16,Southeast,18,22,94
C0657,Public,Doctoral degree,,65,9134,5050,17,Southeast,17,21,93
C0658,Private,Master's degree,,47,804,29482,59,Southeast,23,28,100
C0659,Public,Doctoral degree,,59,19431,5790,36,Southeast,21,27,83
C0660,Public,Doctoral degree,,43,2629,4876,22,Southeast,18,24,99
C0661,Public,Master's degree,,23,2203,5307,11,Southeast,15,19,96
C0662,Private,Doctoral degree,,67,4921,14038,35,Southeast,21,27,99
C0663,Public,Doctoral degree,,65,20161,5805,31,Southeast,20,28,93
C0664,Private,Bachelor's degree,,14,922,8100,12,Southeast,13,14,99
C0665,Public,Doctoral degree,,66,15249,5834,21,Southeast,20,27,96
C0666,Private,Bachelor's degree,,36,878,10218,27,Southeast,15,21,94
C0667,Private,Doctoral degree,,49,3882,10350,46,Southeast,20,28,92
C0668,Private,Master's degree,,61,1971,23100,26,Plains,20,24,100
C0669,Private,Bachelor's degree,,65,1107,20130,26,Plains,19,24,100
C0670,Public,Master's degree,,81,12513,6945,30,Plains,18,24,94
C0671,Private,Master's degree,,,16946,6034,26,Plains,,,84
C0672,Private,Master's degree,,59,843,22550,38,Plains,18,23,100
C0673,Private,Master's degree,,81,4649,21043,32,Plains,22,28,84
C0674,Private,Master's degree,,64,2274,18000,35,Plains,19,26,98
C0675,Private,Master's degree,,65,1997,21220,3,Plains,21,25,92
C0676,Private,Master's degree,,68,1229,16902,46,Plains,19,25,93
C0677,Public,Bachelor's degree,,,1298,4553,2,Plains,,,98
C0678,Public,Master's degree,,,3043,6478,6,Plains,,,94
C0679,Private,Doctoral degree,,66,12213,14000,25,Plains,20,25,95
C0680,Private,Doctoral degree,,76,5033,22882,51,Plains,23,27,99
C0681,Private,Doctoral degree,,61,5345,19650,27,Plains,19,24,100
C0682,Public,Master's degree,,97,5616,5090,15,Plains,18,24,93
C0683,Private,Master's degree,,22,1668,17780,15,Plains,18,21,100
C0684,Public,Master's degree,,,5795,5676,13,Plains,,,97
C0685,Public,Doctoral degree,,79,34616,8989,47,Plains,23,28,84
C0686,Public,Doctoral degree,,33,15718,9029,21,Plains,21,27,92
C0687,Public,Doctoral degree,,82,8129,9084,25,Plains,25,31,97
C0688,Public,Doctoral degree,,74,16809,9038,20,Plains,21,26,95
C0689,Public,Master's degree,,72,6225,7008,54,Plains,25,30,99
C0690,Public,Master's degree,,72,6485,5947,27,Plains,20,25,95
C0691,Private,Bachelor's degree,,13,1513,18030,50,Plains,20,25,100
C0692,Private,Master's degree,,96,10978,9290,27,Plains,,,91
C0693,Private,Doctoral degree,,75,2920,28660,60,Plains,23,28,100
C0694,Private,Doctoral degree,,64,17343,33986,61,Plains,25,30,93
C0695,Private,Doctoral degree,,90,3812,18200,37,Plains,20,26,97
C0696,Private,Master's degree,,68,854,26620,25,Plains,19,26,100
C0697,Public,Master's degree,,85,11767,6555,27,Plains,20,25,93
C0698,Public,Doctoral degree,,85,21271,6598,30,Plains,21,26,89
C0699,Private,Doctoral degree,,16,14032,41992,88,Plains,32,34,55
C0700,Private,Doctoral degree,,58,17904,22400,46,Plains,21,27,97
C0701,Private,Bachelor's degree,,72,1026,20570,52,Plains,21,27,100
C0702,Private,Bachelor's degree,,58,1044,29600,50,Plains,22,28,100
C0703,Private,Doctoral degree,,75,2136,19000,45,Plains,19,26,100
C0704,Private,Bachelor's degree,,53,1431,25198,54,Rocky Mountains,22,26,100
C0705,Public,Master's degree,,,4969,5470,12,Rocky Mountains,,,90
C0706,Private,Master's degree,,73,1138,19580,17,Rocky Mountains,,,97
C0707,Public,Master's degree,,89,2010,6420,20,Rocky Mountains,21,27,89
C0708,Public,Doctoral degree,,84,14852,6428,20,Rocky Mountains,21,27,87
C0709,Public,Doctoral degree,,94,14525,5722,24,Rocky Mountains,21,26,89
C0710,Public,Master's degree,,100,1334,5480,15,Rocky Mountains,17,22,88
C0711,Private,Master's degree,,67,1067,22134,19,Rocky Mountains,19,25,100
C0712,Public,Bachelor's degree,,,1455,3947,27,Rocky Mountains,,,87
C0713,Private,Doctoral degree,,,9788,6540,23,Plains,,,100
C0714,Public,Master's degree,,,3056,5340,17,Plains,,,87
C0715,Private,Master's degree,,72,2206,23060,42,Plains,21,27,100
C0716,Private,Doctoral degree,,77,8019,31894,67,Plains,24,30,100
C0717,Private,Bachelor's degree,,72,1113,23590,51,Plains,21,26,100
C0718,Private,Master's degree,,58,481,16626,23,Plains,19,24,100
C0719,Private,Master's degree,,74,1144,23734,43,Plains,21,26,100
C0720,Public,Master's degree,,85,7052,6320,21,Plains,20,25,87
C0721,Private,Master's degree,,68,1288,24810,41,Plains,18,23,100
C0722,Public,Doctoral degree,,71,15227,6280,14,Plains,20,26,88
C0723,Private,Master's degree,,77,2149,24656,55,Plains,22,26,100
C0724,Public,Doctoral degree,,64,24445,7563,32,Plains,22,28,87
C0725,Public,Master's degree,,,2422,5648,19,Plains,,,92
C0726,Private,Doctoral degree,,57,970,24254,27,Plains,20,26,100
C0727,Private,Master's degree,,52,911,18780,25,Plains,19,26,100
C0728,Public,Master's degree,,,3506,5318,25,Plains,,,92
C0729,Private,Master's degree,,49,470,15300,18,Plains,17,22,91
C0730,Public,Doctoral degree,,85,27848,6428,15,Far West,19,24,92
C0731,Public,Doctoral degree,,84,18776,5630,16,Far West,21,26,94
C0732,Public,Bachelor's degree,,,3181,2513,27,Far West,,,59
C0733,Private,Master's degree,,,955,25370,37,Far West,,,93
C0734,Private,Bachelor's degree,,83,1409,34110,48,New England,,,99
C0735,Private,Doctoral degree,,10,6342,42996,87,New England,30,34,61
C0736,Private,Doctoral degree,,85,2204,29450,39,New England,16,21,100
C0737,Private,Doctoral degree,,90,2224,30400,34,New England,,,95
C0738,Private,Doctoral degree,,79,28389,27234,47,New England,,,94
C0739,Public,Doctoral degree,,78,14913,15250,64,New England,,,84
C0740,Public,Master's degree,,82,4923,11800,52,New England,,,96
C0741,Public,Bachelor's degree,,73,926,12640,30,New England,,,88
C0742,Public,Doctoral degree,,77,5236,11518,41,New England,18,23,89
C0743,Private,Doctoral degree,,89,2346,25885,43,New England,17,21,100
C0744,Private,Bachelor's degree,,74,1923,32540,71,New England,23,27,98
C0745,Public,Master's degree,,,2058,6810,9,New England,,,70
C0746,Private,Bachelor's degree,,,80,17600,46,New England,,,100
C0747,Private,Master's degree,,55,1979,23700,14,Mid East,,,96
C0748,Private,Doctoral degree,,64,2160,26890,35,Mid East,16,25,98
C0749,Private,Master's degree,,91,2400,28890,56,Mid East,18,23,100
C0750,Private,Doctoral degree,,77,2291,41304,65,Mid East,22,27,97
C0751,Private,Doctoral degree,,73,8546,32538,32,Mid East,,,95
C0752,Private,Doctoral degree,,88,1933,28080,24,Mid East,15,23,100
C0753,Private,Doctoral degree,,78,3029,35002,40,Mid East,,,99
C0754,Private,Master's degree,,78,2257,27984,25,Mid East,,,99
C0755,Public,Doctoral degree,,59,13349,12019,46,Mid East,,,83
C0756,Public,Doctoral degree,,41,8442,10021,5,Mid East,,,90
C0757,Public,Doctoral degree,,80,14404,10200,19,Mid East,,,78
C0758,Private,Doctoral degree,,78,6316,28000,42,Mid East,22,25,100
C0759,Public,Doctoral degree,,65,19464,10646,34,Mid East,,,77
C0760,Public,Doctoral degree,,65,10130,13974,23,Mid East,22,29,87
C0761,Private,Doctoral degree,,7,8014,37000,88,Mid East,31,35,60
C0762,Public,Master's degree,,55,5852,12758,59,Mid East,20,26,78
C0763,Private,Master's degree,,72,5410,31930,55,Mid East,19,25,98
C0764,Public,Doctoral degree,,59,6264,12615,27,Mid East,,,85
C0765,Public,Doctoral degree,,60,48036,12754,57,Mid East,,,76
